Job_title,Hourly_salary,Annual_salary,Salary_Frequency,Location,Source,Scrape_Date
All Occupations,29.76,"61,900",Hourly | Annual,US,BLS.gov,2023-12-01
Management Occupations,63.08,"131,200",Hourly | Annual,US,BLS.gov,2023-12-01
Top Executives,62.04,"129,050",Hourly | Annual,US,BLS.gov,2023-12-01
Chief Executives,118.48,"246,440",Hourly | Annual,US,BLS.gov,2023-12-01
General and Operations Managers,59.07,"122,860",Hourly | Annual,US,BLS.gov,2023-12-01
Legislators,(4),"71,100",Hourly | Annual,US,BLS.gov,2023-12-01
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",73.23,"152,320",Hourly | Annual,US,BLS.gov,2023-12-01
Advertising and Promotions Managers,70.70,"147,050",Hourly | Annual,US,BLS.gov,2023-12-01
Marketing and Sales Managers,73.79,"153,470",Hourly | Annual,US,BLS.gov,2023-12-01
Marketing Managers,76.10,"158,280",Hourly | Annual,US,BLS.gov,2023-12-01
Sales Managers,72.37,"150,530",Hourly | Annual,US,BLS.gov,2023-12-01
Public Relations and Fundraising Managers,68.56,"142,610",Hourly | Annual,US,BLS.gov,2023-12-01
Public Relations Managers,72.13,"150,030",Hourly | Annual,US,BLS.gov,2023-12-01
Fundraising Managers,59.83,"124,450",Hourly | Annual,US,BLS.gov,2023-12-01
Operations Specialties Managers,71.25,"148,190",Hourly | Annual,US,BLS.gov,2023-12-01
Administrative Services and Facilities Managers,54.06,"112,440",Hourly | Annual,US,BLS.gov,2023-12-01
Administrative Services Managers,55.59,"115,640",Hourly | Annual,US,BLS.gov,2023-12-01
Facilities Managers,50.95,"105,970",Hourly | Annual,US,BLS.gov,2023-12-01
Computer and Information Systems Managers,83.49,"173,670",Hourly | Annual,US,BLS.gov,2023-12-01
Financial Managers,79.83,"166,050",Hourly | Annual,US,BLS.gov,2023-12-01
Industrial Production Managers,58.13,"120,900",Hourly | Annual,US,BLS.gov,2023-12-01
Purchasing Managers,67.62,"140,650",Hourly | Annual,US,BLS.gov,2023-12-01
"Transportation, Storage, and Distribution Managers",52.36,"108,910",Hourly | Annual,US,BLS.gov,2023-12-01
Compensation and Benefits Managers,68.82,"143,140",Hourly | Annual,US,BLS.gov,2023-12-01
Human Resources Managers,70.07,"145,750",Hourly | Annual,US,BLS.gov,2023-12-01
Training and Development Managers,63.51,"132,100",Hourly | Annual,US,BLS.gov,2023-12-01
Other Management Occupations,54.53,"113,420",Hourly | Annual,US,BLS.gov,2023-12-01
"Farmers, Ranchers, and Other Agricultural Managers",40.29,"83,790",Hourly | Annual,US,BLS.gov,2023-12-01
Construction Managers,54.22,"112,790",Hourly | Annual,US,BLS.gov,2023-12-01
Education and Childcare Administrators,49.70,"103,370",Hourly | Annual,US,BLS.gov,2023-12-01
"Education and Childcare Administrators, Preschool and Daycare",27.70,"57,610",Hourly | Annual,US,BLS.gov,2023-12-01
"Education Administrators, Kindergarten through Secondary",(4),"106,690",Hourly | Annual,US,BLS.gov,2023-12-01
"Education Administrators, Postsecondary",55.38,"115,180",Hourly | Annual,US,BLS.gov,2023-12-01
"Education Administrators, All Other",47.99,"99,820",Hourly | Annual,US,BLS.gov,2023-12-01
Architectural and Engineering Managers,78.52,"163,310",Hourly | Annual,US,BLS.gov,2023-12-01
Food Service Managers,32.27,"67,130",Hourly | Annual,US,BLS.gov,2023-12-01
Entertainment and Recreation Managers,39.68,"82,530",Hourly | Annual,US,BLS.gov,2023-12-01
Gambling Managers,46.07,"95,830",Hourly | Annual,US,BLS.gov,2023-12-01
"Entertainment and Recreation Managers, Except Gambling",38.34,"79,750",Hourly | Annual,US,BLS.gov,2023-12-01
Lodging Managers,35.21,"73,230",Hourly | Annual,US,BLS.gov,2023-12-01
Medical and Health Services Managers,61.53,"127,980",Hourly | Annual,US,BLS.gov,2023-12-01
Natural Sciences Managers,78.66,"163,610",Hourly | Annual,US,BLS.gov,2023-12-01
Postmasters and Mail Superintendents,40.48,"84,190",Hourly | Annual,US,BLS.gov,2023-12-01
"Property, Real Estate, and Community Association Managers",36.59,"76,110",Hourly | Annual,US,BLS.gov,2023-12-01
Social and Community Service Managers,38.13,"79,310",Hourly | Annual,US,BLS.gov,2023-12-01
Emergency Management Directors,42.74,"88,890",Hourly | Annual,US,BLS.gov,2023-12-01
Personal Service Managers,36.18,"75,250",Hourly | Annual,US,BLS.gov,2023-12-01
Funeral Home Managers,40.76,"84,770",Hourly | Annual,US,BLS.gov,2023-12-01
"Personal Service Managers, All Other",29.09,"60,510",Hourly | Annual,US,BLS.gov,2023-12-01
"Managers, All Other",67.88,"141,190",Hourly | Annual,US,BLS.gov,2023-12-01
Business and Financial Operations Occupations,41.39,"86,080",Hourly | Annual,US,BLS.gov,2023-12-01
Business Operations Specialists,40.04,"83,280",Hourly | Annual,US,BLS.gov,2023-12-01
"Agents and Business Managers of Artists, Performers, and Athletes",57.74,"120,100",Hourly | Annual,US,BLS.gov,2023-12-01
Buyers and Purchasing Agents,36.13,"75,140",Hourly | Annual,US,BLS.gov,2023-12-01
"Claims Adjusters, Appraisers, Examiners, and Investigators",35.25,"73,320",Hourly | Annual,US,BLS.gov,2023-12-01
"Claims Adjusters, Examiners, and Investigators",35.28,"73,380",Hourly | Annual,US,BLS.gov,2023-12-01
"Insurance Appraisers, Auto Damage",34.42,"71,580",Hourly | Annual,US,BLS.gov,2023-12-01
Compliance Officers,37.01,"76,980",Hourly | Annual,US,BLS.gov,2023-12-01
Cost Estimators,36.89,"76,740",Hourly | Annual,US,BLS.gov,2023-12-01
Human Resources Workers,35.61,"74,060",Hourly | Annual,US,BLS.gov,2023-12-01
Human Resources Specialists,35.13,"73,080",Hourly | Annual,US,BLS.gov,2023-12-01
Farm Labor Contractors,26.26,"54,630",Hourly | Annual,US,BLS.gov,2023-12-01
Labor Relations Specialists,42.05,"87,470",Hourly | Annual,US,BLS.gov,2023-12-01
Logisticians and Project Management Specialists,46.95,"97,660",Hourly | Annual,US,BLS.gov,2023-12-01
Logisticians,39.05,"81,220",Hourly | Annual,US,BLS.gov,2023-12-01
Project Management Specialists,48.85,"101,610",Hourly | Annual,US,BLS.gov,2023-12-01
Management Analysts,50.32,"104,660",Hourly | Annual,US,BLS.gov,2023-12-01
"Meeting, Convention, and Event Planners",28.24,"58,750",Hourly | Annual,US,BLS.gov,2023-12-01
Fundraisers,32.06,"66,670",Hourly | Annual,US,BLS.gov,2023-12-01
"Compensation, Benefits, and Job Analysis Specialists",36.50,"75,920",Hourly | Annual,US,BLS.gov,2023-12-01
Training and Development Specialists,33.59,"69,870",Hourly | Annual,US,BLS.gov,2023-12-01
Market Research Analysts and Marketing Specialists,37.92,"78,880",Hourly | Annual,US,BLS.gov,2023-12-01
"Business Operations Specialists, All Other",39.75,"82,670",Hourly | Annual,US,BLS.gov,2023-12-01
Financial Specialists,44.37,"92,290",Hourly | Annual,US,BLS.gov,2023-12-01
Accountants and Auditors,41.70,"86,740",Hourly | Annual,US,BLS.gov,2023-12-01
Property Appraisers and Assessors,38.68,"80,460",Hourly | Annual,US,BLS.gov,2023-12-01
Budget Analysts,42.16,"87,680",Hourly | Annual,US,BLS.gov,2023-12-01
Credit Analysts,44.32,"92,180",Hourly | Annual,US,BLS.gov,2023-12-01
Financial Analysts and Advisors,56.14,"116,770",Hourly | Annual,US,BLS.gov,2023-12-01
Financial and Investment Analysts,52.30,"108,790",Hourly | Annual,US,BLS.gov,2023-12-01
Personal Financial Advisors,66.22,"137,740",Hourly | Annual,US,BLS.gov,2023-12-01
Insurance Underwriters,39.90,"82,990",Hourly | Annual,US,BLS.gov,2023-12-01
Financial Risk Specialists,55.84,"116,140",Hourly | Annual,US,BLS.gov,2023-12-01
Financial Examiners,45.97,"95,610",Hourly | Annual,US,BLS.gov,2023-12-01
Credit Counselors and Loan Officers,39.25,"81,640",Hourly | Annual,US,BLS.gov,2023-12-01
Credit Counselors,24.83,"51,650",Hourly | Annual,US,BLS.gov,2023-12-01
Loan Officers,40.46,"84,160",Hourly | Annual,US,BLS.gov,2023-12-01
"Tax Examiners, Collectors and Preparers, and Revenue Agents",28.42,"59,100",Hourly | Annual,US,BLS.gov,2023-12-01
"Tax Examiners and Collectors, and Revenue Agents",30.97,"64,410",Hourly | Annual,US,BLS.gov,2023-12-01
Tax Preparers,26.85,"55,840",Hourly | Annual,US,BLS.gov,2023-12-01
"Financial Specialists, All Other",40.18,"83,580",Hourly | Annual,US,BLS.gov,2023-12-01
Computer and Mathematical Occupations,51.99,"108,130",Hourly | Annual,US,BLS.gov,2023-12-01
Computer Occupations,51.97,"108,100",Hourly | Annual,US,BLS.gov,2023-12-01
