Job_title,Annual_salary,Salary Frequency,Location,Source,Scrape_date
account-executive,"$94,228",Annual,US,Builtin,2023-11-30
account-manager,"$80,735",Annual,US,Builtin,2023-11-30
accountant,"$74,222",Annual,US,Builtin,2023-11-30
aerospace-engineer,"$135,465",Annual,US,Builtin,2023-11-30
ai-engineer,#N/A,Annual,US,Builtin,2023-11-30
analytics-manager,"$116,846",Annual,US,Builtin,2023-11-30
android-developer,"$111,145",Annual,US,Builtin,2023-11-30
app-developer,"$105,160",Annual,US,Builtin,2023-11-30
application-engineer,"$115,924",Annual,US,Builtin,2023-11-30
art-director,"$94,223",Annual,US,Builtin,2023-11-30
associate-product-manager,"$82,185",Annual,US,Builtin,2023-11-30
automation-engineer,"$105,775",Annual,US,Builtin,2023-11-30
aws-developer,"$108,134",Annual,US,Builtin,2023-11-30
back-end-developer,"$153,979",Annual,US,Builtin,2023-11-30
big-data-engineer,"$132,171",Annual,US,Builtin,2023-11-30
blockchain-developer,"$108,607",Annual,US,Builtin,2023-11-30
brand-manager,"$104,502",Annual,US,Builtin,2023-11-30
budget-analyst,"$71,338",Annual,US,Builtin,2023-11-30
business-analyst,"$83,184",Annual,US,Builtin,2023-11-30
business-development-manager,"$101,469",Annual,US,Builtin,2023-11-30
business-development-representative,"$58,491",Annual,US,Builtin,2023-11-30
business-intelligence-analyst,"$87,537",Annual,US,Builtin,2023-11-30
business-intelligence-developer,"$101,661",Annual,US,Builtin,2023-11-30
business-intelligence-manager,"$126,087",Annual,US,Builtin,2023-11-30
cco-chief-creative-officer,"$174,326",Annual,US,Builtin,2023-11-30
cfo-chief-financial-officer,#N/A,Annual,US,Builtin,2023-11-30
chief-information-officer,"$215,391",Annual,US,Builtin,2023-11-30
chief-people-officer,#N/A,Annual,US,Builtin,2023-11-30
cio-chief-information-officer,"$228,242",Annual,US,Builtin,2023-11-30
client-success-manager,"$88,720",Annual,US,Builtin,2023-11-30
cloud-engineer,"$138,575",Annual,US,Builtin,2023-11-30
cloud-security-engineer,"$134,398",Annual,US,Builtin,2023-11-30
cmo-chief-marketing-officer,"$225,829",Annual,US,Builtin,2023-11-30
community-manager,"$67,753",Annual,US,Builtin,2023-11-30
content-manager,"$79,054",Annual,US,Builtin,2023-11-30
content-marketing-manager,"$87,201",Annual,US,Builtin,2023-11-30
content-strategist,"$77,782",Annual,US,Builtin,2023-11-30
controller,"$141,784",Annual,US,Builtin,2023-11-30
coo-chief-operating-officer,"$201,672",Annual,US,Builtin,2023-11-30
copywriter,"$73,288",Annual,US,Builtin,2023-11-30
cpo-chief-product-officer,"$229,963",Annual,US,Builtin,2023-11-30
creative-chief-officer,"$187,932",Annual,US,Builtin,2023-11-30
creative-director,"$144,557",Annual,US,Builtin,2023-11-30
cro-chief-revenue-officer,"$236,957",Annual,US,Builtin,2023-11-30
cto-chief-technology-officer,"$222,198",Annual,US,Builtin,2023-11-30
customer-support-manager,"$83,717",Annual,US,Builtin,2023-11-30
