Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
Academic Librarian,N/A,Annual,US,CareerExplorer.com,2023-12-01
Academic Writer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Accountant,77k,Annual,US,CareerExplorer.com,2023-12-01
Account Manager,47k,Annual,US,CareerExplorer.com,2023-12-01
Acrobat,N/A,Annual,US,CareerExplorer.com,2023-12-01
Actor,48k,Annual,US,CareerExplorer.com,2023-12-01
Actuary,105k,Annual,US,CareerExplorer.com,2023-12-01
Acupuncturist,73k,Annual,US,CareerExplorer.com,2023-12-01
Acute Care Nurse Practitioner,77k,Annual,US,CareerExplorer.com,2023-12-01
Administrative Assistant,37k,Annual,US,CareerExplorer.com,2023-12-01
Adult Education Teacher,N/A,Annual,US,CareerExplorer.com,2023-12-01
Advanced Practice Registered Nurse,N/A,Annual,US,CareerExplorer.com,2023-12-01
Advertising Manager,127k,Annual,US,CareerExplorer.com,2023-12-01
Advertising Sales Agent,52k,Annual,US,CareerExplorer.com,2023-12-01
Aerialist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Aerospace Engineer,122k,Annual,US,CareerExplorer.com,2023-12-01
Aerospace Technician,N/A,Annual,US,CareerExplorer.com,2023-12-01
Aesthetician,37k,Annual,US,CareerExplorer.com,2023-12-01
Agricultural and Food Science Technician,40k,Annual,US,CareerExplorer.com,2023-12-01
Agricultural Business Manager,N/A,Annual,US,CareerExplorer.com,2023-12-01
Agricultural Engineer,82k,Annual,US,CareerExplorer.com,2023-12-01
Agricultural Inspector,45k,Annual,US,CareerExplorer.com,2023-12-01
Agricultural Worker,29k,Annual,US,CareerExplorer.com,2023-12-01
Agrologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Agronomist,41k,Annual,US,CareerExplorer.com,2023-12-01
Aircraft Launch and Recovery Specialist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Aircraft Mechanic,65k,Annual,US,CareerExplorer.com,2023-12-01
Air Force Officer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Airport Firefighter,N/A,Annual,US,CareerExplorer.com,2023-12-01
Air Traffic Controller,129k,Annual,US,CareerExplorer.com,2023-12-01
Air Weapons Specialist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Allergist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Alligator Farmer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Alternative Asset Manager,N/A,Annual,US,CareerExplorer.com,2023-12-01
Ambassador,N/A,Annual,US,CareerExplorer.com,2023-12-01
Ambulance Dispatcher,46k,Annual,US,CareerExplorer.com,2023-12-01
American Sign Language Interpreter,49k,Annual,US,CareerExplorer.com,2023-12-01
Amusement Attendant,24k,Annual,US,CareerExplorer.com,2023-12-01
Anesthesiologist,267k,Annual,US,CareerExplorer.com,2023-12-01
Anesthesiologist Assistant,121k,Annual,US,CareerExplorer.com,2023-12-01
Animal Assisted Therapist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Animal Behaviorist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Animal Breeder,40k,Annual,US,CareerExplorer.com,2023-12-01
Animal Caretaker,28k,Annual,US,CareerExplorer.com,2023-12-01
Animal Control Worker,39k,Annual,US,CareerExplorer.com,2023-12-01
Animal Lawyer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Animal Nutritionist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Animal Scientist,65k,Annual,US,CareerExplorer.com,2023-12-01
Animal Trainer,31k,Annual,US,CareerExplorer.com,2023-12-01
Animal Trainer For Film And Television,N/A,Annual,US,CareerExplorer.com,2023-12-01
Announcer,37k,Annual,US,CareerExplorer.com,2023-12-01
Anthropologist,61k,Annual,US,CareerExplorer.com,2023-12-01
App Developer,71k,Annual,US,CareerExplorer.com,2023-12-01
Aquacultural Manager,73k,Annual,US,CareerExplorer.com,2023-12-01
Aquaculturist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Aquarist,27k,Annual,US,CareerExplorer.com,2023-12-01
A&R Administrator,N/A,Annual,US,CareerExplorer.com,2023-12-01
Arbitrator,49k,Annual,US,CareerExplorer.com,2023-12-01
Arborist,46k,Annual,US,CareerExplorer.com,2023-12-01
Archaeologist,61k,Annual,US,CareerExplorer.com,2023-12-01
Architect,80k,Annual,US,CareerExplorer.com,2023-12-01
Architectural Designer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Architectural Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Architectural Technologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Archivist,60k,Annual,US,CareerExplorer.com,2023-12-01
A&R Coordinator,N/A,Annual,US,CareerExplorer.com,2023-12-01
Armored Assault Vehicle Crew Member,34k,Annual,US,CareerExplorer.com,2023-12-01
Army Officer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Art Director,100k,Annual,US,CareerExplorer.com,2023-12-01
Artificial Intelligence Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Artillery Crew Member,34k,Annual,US,CareerExplorer.com,2023-12-01
Artist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Art Teacher,34k,Annual,US,CareerExplorer.com,2023-12-01
Art Therapist,47k,Annual,US,CareerExplorer.com,2023-12-01
Asset Manager,N/A,Annual,US,CareerExplorer.com,2023-12-01
Astronaut,N/A,Annual,US,CareerExplorer.com,2023-12-01
Astronomer,128k,Annual,US,CareerExplorer.com,2023-12-01
Astrophysicist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Athlete,77k,Annual,US,CareerExplorer.com,2023-12-01
Athletic Shoemaker,N/A,Annual,US,CareerExplorer.com,2023-12-01
Athletic Trainer,48k,Annual,US,CareerExplorer.com,2023-12-01
Atmospheric Scientist,94k,Annual,US,CareerExplorer.com,2023-12-01
Audio Engineer,60k,Annual,US,CareerExplorer.com,2023-12-01
Audiologist,78k,Annual,US,CareerExplorer.com,2023-12-01
Audio Visual Technician,48k,Annual,US,CareerExplorer.com,2023-12-01
Auditor,77k,Annual,US,CareerExplorer.com,2023-12-01
Auto Body Repairer,47k,Annual,US,CareerExplorer.com,2023-12-01
Auto Mechanic,46k,Annual,US,CareerExplorer.com,2023-12-01
Automotive Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Automotive Engineering Technician,N/A,Annual,US,CareerExplorer.com,2023-12-01
Aviation Inspector,79k,Annual,US,CareerExplorer.com,2023-12-01
Aviation Manager,N/A,Annual,US,CareerExplorer.com,2023-12-01
Avionics Technician,69k,Annual,US,CareerExplorer.com,2023-12-01
Back-End Developer,67k,Annual,US,CareerExplorer.com,2023-12-01
Bailiff,48k,Annual,US,CareerExplorer.com,2023-12-01
Baker,29k,Annual,US,CareerExplorer.com,2023-12-01
Bank Manager,131k,Annual,US,CareerExplorer.com,2023-12-01
