Job Title,Salary,Salary_Type,location,Source,Scrape_Date
Nurse,"$103,127",Annually,US,FederalPay,2023-12-01
Miscellaneous Administration and Program,"$111,493",Annually,US,FederalPay,2023-12-01
Compliance Inspector,$0,Annually,US,FederalPay,2023-12-01
Manager and Program Analyst,"$118,501",Annually,US,FederalPay,2023-12-01
Information Technology Manager,"$125,938",Annually,US,FederalPay,2023-12-01
Criminal Investigator,$0,Annually,US,FederalPay,2023-12-01
General Attorney,"$153,210",Annually,US,FederalPay,2023-12-01
Miscellaneous Clerk and Assistant,"$46,919",Annually,US,FederalPay,2023-12-01
,$0,Annually,US,FederalPay,2023-12-01
Medical Officer,"$258,716",Annually,US,FederalPay,2023-12-01
Medical Support Assistant,"$46,259",Annually,US,FederalPay,2023-12-01
Contact Representative,"$54,131",Annually,US,FederalPay,2023-12-01
Social Insurance Administrator,"$89,970",Annually,US,FederalPay,2023-12-01
Customs and Border Protection Personnel,$0,Annually,US,FederalPay,2023-12-01
Human Resources Manager,"$104,023",Annually,US,FederalPay,2023-12-01
,"$107,631",Annually,US,FederalPay,2023-12-01
Border Patrol Enforcer,$0,Annually,US,FederalPay,2023-12-01
Social Worker,"$85,640",Annually,US,FederalPay,2023-12-01
Air Traffic Controller,"$138,493",Annually,US,FederalPay,2023-12-01
General Health Scientist,"$114,058",Annually,US,FederalPay,2023-12-01
Correctional Officer,$0,Annually,US,FederalPay,2023-12-01
Practical Nurse,"$58,860",Annually,US,FederalPay,2023-12-01
General Business and Industry Employee,"$104,552",Annually,US,FederalPay,2023-12-01
Nursing Assistant,"$43,548",Annually,US,FederalPay,2023-12-01
Veterans Claims Examiner,"$79,475",Annually,US,FederalPay,2023-12-01
Contractor,"$113,063",Annually,US,FederalPay,2023-12-01
Financial Administrator and Programmer,"$102,287",Annually,US,FederalPay,2023-12-01
Custodial Worker,"$39,392",Annually,US,FederalPay,2023-12-01
Pharmacist,"$134,850",Annually,US,FederalPay,2023-12-01
Tax Examiner,"$50,466",Annually,US,FederalPay,2023-12-01
Emergency Management Specialist,"$82,241",Annually,US,FederalPay,2023-12-01
Health Aid and Technician,"$50,273",Annually,US,FederalPay,2023-12-01
General Engineer,"$139,701",Annually,US,FederalPay,2023-12-01
Forestry Technician,"$50,580",Annually,US,FederalPay,2023-12-01
Program Manager,"$160,666",Annually,US,FederalPay,2023-12-01
Social Scientist,"$95,039",Annually,US,FederalPay,2023-12-01
Internal Revenue Agent,$0,Annually,US,FederalPay,2023-12-01
Psychologist,"$108,603",Annually,US,FederalPay,2023-12-01
Patent Examiner,"$138,728",Annually,US,FederalPay,2023-12-01
Accountant,"$126,075",Annually,US,FederalPay,2023-12-01
General Legal and Kindred Administrator,"$69,000",Annually,US,FederalPay,2023-12-01
Intelligence Personnel,$0,Annually,US,FederalPay,2023-12-01
Administrative Officer,"$97,463",Annually,US,FederalPay,2023-12-01
Police Officer,$0,Annually,US,FederalPay,2023-12-01
Budget Analyst,"$113,700",Annually,US,FederalPay,2023-12-01
Transportation Specialist,"$109,736",Annually,US,FederalPay,2023-12-01
Security Administrator,"$109,771",Annually,US,FederalPay,2023-12-01
Loan Specialist,"$76,156",Annually,US,FederalPay,2023-12-01
Maintenance Mechanic,"$62,857",Annually,US,FederalPay,2023-12-01
Paralegal Specialist,"$84,292",Annually,US,FederalPay,2023-12-01
