Job_Title,Salary,Location,Salary_Frequency,Source,Scrape_Date
Nurse,103127,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Administration and Program,111493,US,Annual,FederalPay.com,2023-12-01_20-43-46
Compliance Inspector,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Manager and Program Analyst,118501,US,Annual,FederalPay.com,2023-12-01_20-43-46
Information Technology Manager,125938,US,Annual,FederalPay.com,2023-12-01_20-43-46
Criminal Investigator,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Attorney,153210,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Clerk and Assistant,46919,US,Annual,FederalPay.com,2023-12-01_20-43-46
,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Medical Officer,258716,US,Annual,FederalPay.com,2023-12-01_20-43-46
Medical Support Assistant,46259,US,Annual,FederalPay.com,2023-12-01_20-43-46
Contact Representative,54131,US,Annual,FederalPay.com,2023-12-01_20-43-46
Social Insurance Administrator,89970,US,Annual,FederalPay.com,2023-12-01_20-43-46
Customs and Border Protection Personnel,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Human Resources Manager,104023,US,Annual,FederalPay.com,2023-12-01_20-43-46
,107631,US,Annual,FederalPay.com,2023-12-01_20-43-46
Border Patrol Enforcer,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Social Worker,85640,US,Annual,FederalPay.com,2023-12-01_20-43-46
Air Traffic Controller,138493,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Health Scientist,114058,US,Annual,FederalPay.com,2023-12-01_20-43-46
Correctional Officer,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Practical Nurse,58860,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Business and Industry Employee,104552,US,Annual,FederalPay.com,2023-12-01_20-43-46
Nursing Assistant,43548,US,Annual,FederalPay.com,2023-12-01_20-43-46
Veterans Claims Examiner,79475,US,Annual,FederalPay.com,2023-12-01_20-43-46
Contractor,113063,US,Annual,FederalPay.com,2023-12-01_20-43-46
Financial Administrator and Programmer,102287,US,Annual,FederalPay.com,2023-12-01_20-43-46
Custodial Worker,39392,US,Annual,FederalPay.com,2023-12-01_20-43-46
Pharmacist,134850,US,Annual,FederalPay.com,2023-12-01_20-43-46
Tax Examiner,50466,US,Annual,FederalPay.com,2023-12-01_20-43-46
Emergency Management Specialist,82241,US,Annual,FederalPay.com,2023-12-01_20-43-46
Health Aid and Technician,50273,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Engineer,139701,US,Annual,FederalPay.com,2023-12-01_20-43-46
Forestry Technician,50580,US,Annual,FederalPay.com,2023-12-01_20-43-46
Program Manager,160666,US,Annual,FederalPay.com,2023-12-01_20-43-46
Social Scientist,95039,US,Annual,FederalPay.com,2023-12-01_20-43-46
Internal Revenue Agent,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Psychologist,108603,US,Annual,FederalPay.com,2023-12-01_20-43-46
Patent Examiner,138728,US,Annual,FederalPay.com,2023-12-01_20-43-46
Accountant,126075,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Legal and Kindred Administrator,69000,US,Annual,FederalPay.com,2023-12-01_20-43-46
Intelligence Personnel,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Administrative Officer,97463,US,Annual,FederalPay.com,2023-12-01_20-43-46
Police Officer,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Budget Analyst,113700,US,Annual,FederalPay.com,2023-12-01_20-43-46
Transportation Specialist,109736,US,Annual,FederalPay.com,2023-12-01_20-43-46
Security Administrator,109771,US,Annual,FederalPay.com,2023-12-01_20-43-46
Loan Specialist,76156,US,Annual,FederalPay.com,2023-12-01_20-43-46
Maintenance Mechanic,62857,US,Annual,FederalPay.com,2023-12-01_20-43-46
Paralegal Specialist,84292,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Physical Scientist,130489,US,Annual,FederalPay.com,2023-12-01_20-43-46
Financial Institution Examiner,140751,US,Annual,FederalPay.com,2023-12-01_20-43-46
Biological Science Technician,50202,US,Annual,FederalPay.com,2023-12-01_20-43-46
Food Service Worker,41017,US,Annual,FederalPay.com,2023-12-01_20-43-46
Secretary,59197,US,Annual,FederalPay.com,2023-12-01_20-43-46
Pharmacy Technician,50194,US,Annual,FederalPay.com,2023-12-01_20-43-46
Aerospace Engineer,139505,US,Annual,FederalPay.com,2023-12-01_20-43-46
Auditor,124894,US,Annual,FederalPay.com,2023-12-01_20-43-46
Medical Technologist,84214,US,Annual,FederalPay.com,2023-12-01_20-43-46
Diagnostic Radiologic Technologist,75938,US,Annual,FederalPay.com,2023-12-01_20-43-46
Legal Assistant,59960,US,Annual,FederalPay.com,2023-12-01_20-43-46
Soil Conservationist,74339,US,Annual,FederalPay.com,2023-12-01_20-43-46
Consumer Safety Inspection,65385,US,Annual,FederalPay.com,2023-12-01_20-43-46
Financial Clerk and Assistant,51873,US,Annual,FederalPay.com,2023-12-01_20-43-46
Public Health Program Specialist,115173,US,Annual,FederalPay.com,2023-12-01_20-43-46
Economist,134776,US,Annual,FederalPay.com,2023-12-01_20-43-46
Civil Engineer,107789,US,Annual,FederalPay.com,2023-12-01_20-43-46
Aviation Safety Personnel,129662,US,Annual,FederalPay.com,2023-12-01_20-43-46
Public Affairs Worker,115051,US,Annual,FederalPay.com,2023-12-01_20-43-46
Health System Specialist,98553,US,Annual,FederalPay.com,2023-12-01_20-43-46
Chemist,129682,US,Annual,FederalPay.com,2023-12-01_20-43-46
Medical Records Technician,56262,US,Annual,FederalPay.com,2023-12-01_20-43-46
Medical Instrument Technician,66384,US,Annual,FederalPay.com,2023-12-01_20-43-46
Environmental Protection Specialist,112757,US,Annual,FederalPay.com,2023-12-01_20-43-46
Consumer Safety Personnel,116060,US,Annual,FederalPay.com,2023-12-01_20-43-46
Park Ranger,77161,US,Annual,FederalPay.com,2023-12-01_20-43-46
Statistician,119237,US,Annual,FederalPay.com,2023-12-01_20-43-46
Engineer Technician,79743,US,Annual,FederalPay.com,2023-12-01_20-43-46
Cook,61138,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Arts and Information Employee,109392,US,Annual,FederalPay.com,2023-12-01_20-43-46
,58066,US,Annual,FederalPay.com,2023-12-01_20-43-46
Physician Assistant,103537,US,Annual,FederalPay.com,2023-12-01_20-43-46
Internal Revenue Officer,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Hearings and Appeals Personnel,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Medical Supply Aide and Technician,53400,US,Annual,FederalPay.com,2023-12-01_20-43-46
Grants Manager,109700,US,Annual,FederalPay.com,2023-12-01_20-43-46
Human Resources Assistance,51213,US,Annual,FederalPay.com,2023-12-01_20-43-46
Supply Clerk and Technician,45875,US,Annual,FederalPay.com,2023-12-01_20-43-46
Dietitian and Nutritionist,84332,US,Annual,FederalPay.com,2023-12-01_20-43-46
,100638,US,Annual,FederalPay.com,2023-12-01_20-43-46
Physical Therapist,103721,US,Annual,FederalPay.com,2023-12-01_20-43-46
Health Insurance Administrator,129002,US,Annual,FederalPay.com,2023-12-01_20-43-46
Foreign Affairs Personnel,138855,US,Annual,FederalPay.com,2023-12-01_20-43-46
Materials Handler,57124,US,Annual,FederalPay.com,2023-12-01_20-43-46
Inventory Manager,68818,US,Annual,FederalPay.com,2023-12-01_20-43-46
Training Instructor,91537,US,Annual,FederalPay.com,2023-12-01_20-43-46
Meteorologist,109098,US,Annual,FederalPay.com,2023-12-01_20-43-46
Motor Vehicle Operator,52565,US,Annual,FederalPay.com,2023-12-01_20-43-46
Security Clerk and Assistant,51627,US,Annual,FederalPay.com,2023-12-01_20-43-46
Mail and File Employee,42127,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electronics Engineer,139311,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electronics Technician,92179,US,Annual,FederalPay.com,2023-12-01_20-43-46
Dental Assistant,49628,US,Annual,FederalPay.com,2023-12-01_20-43-46
Realtor,98258,US,Annual,FederalPay.com,2023-12-01_20-43-46
,106938,US,Annual,FederalPay.com,2023-12-01_20-43-46
Speech Pathologist and Audiologist,98148,US,Annual,FederalPay.com,2023-12-01_20-43-46
Accounting Technician,53302,US,Annual,FederalPay.com,2023-12-01_20-43-46
Purchasing,52235,US,Annual,FederalPay.com,2023-12-01_20-43-46
Dental Officer,195672,US,Annual,FederalPay.com,2023-12-01_20-43-46
Telecommunication Employee,113143,US,Annual,FederalPay.com,2023-12-01_20-43-46
