Index,Salary,Salary_Type,Location,Website,Scrape Date
Physical Therapist Assistant,45.00 - 50.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Physical Therapist Assistant,43.00 Per hour ,Hourly,"Mesquite, TX",Glassdoor,2023-11-30
Physical Therapist Assistant,28.00 - 34.00 Per hour ,Hourly,"Hurst, TX",Glassdoor,2023-11-30
Substance Abuse Counselor,18.00 - 20.00 Per hour ,Hourly,"Cleburne, TX",Glassdoor,2023-11-30
Registered Professional Land Surveyor - RPLS,85T - 1L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Physical Therapist Assistant,28.00 - 34.00 Per hour ,Hourly,"Kaufman, TX",Glassdoor,2023-11-30
Physical Therapist Assistant,45.00 - 60.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Home Health Physical Therapist Assistant,70T - 1L ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
Full-time RDH,40.00 - 44.00 Per hour ,Hourly,"Keller, TX",Glassdoor,2023-11-30
Police Patrol Officer,20.38 - 22.04 Per hour ,Hourly,"Tom Bean, TX",Glassdoor,2023-11-30
Lithotripsy Technologist,32.00 - 40.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Physical Therapist Assistant,25.00 - 28.00 Per hour ,Hourly,"Corsicana, TX",Glassdoor,2023-11-30
Clinical Audiologist,50.00 - 55.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
CT/X-Ray Technologist,17.39 - 41.75 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Ultrasound Technologist,50.00 - 100.00 Per hour ,Hourly,"Waxahachie, TX",Glassdoor,2023-11-30
Physical Therapist Assistant,40.00 - 55.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Interventional Radiology Technologist,45.00 - 50.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Physical Therapist Assistant,48.00 - 55.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Counselor,40T - 60T ,Annually,"Azle, TX",Glassdoor,2023-11-30
Experienced Litigator,1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Anesthesiologist LIFESTYLE POSITION,3L ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
Midlevel: APRN or P.A. for lung and sleep clinic,90T ,Annually,"Weatherford, TX",Glassdoor,2023-11-30
