Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
software engineer,"195,000",Annual,"Boston, MA",Levelsfyi.com,2023-12-01
software engineer,"450,000",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"98,000",Annual,"Dallas, TX",Levelsfyi.com,2023-12-01
software engineer,"70,000",Annual,"Austin, TX",Levelsfyi.com,2023-12-01
software engineer,"252,000",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,,Annual,,Levelsfyi.com,2023-12-01
software engineer,"265,000",Annual,"Palo Alto, CA",Levelsfyi.com,2023-12-01
software engineer,"260,000",Annual,"Los Angeles, CA",Levelsfyi.com,2023-12-01
software engineer,"80,000",Annual,"Houston, TX",Levelsfyi.com,2023-12-01
software engineer,"292,000",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"309,000",Annual,"San Jose, CA",Levelsfyi.com,2023-12-01
software engineer,"350,000",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"96,000",Annual,"Mount Laurel, NJ",Levelsfyi.com,2023-12-01
software engineer,"271,000",Annual,"Kirkland, WA",Levelsfyi.com,2023-12-01
software engineer,"140,263",Annual,"Los Angeles, CA",Levelsfyi.com,2023-12-01
software engineer,"160,000",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"75,000",Annual,"Rochester, NY",Levelsfyi.com,2023-12-01
software engineer,"348,750",Annual,"San Francisco, CA",Levelsfyi.com,2023-12-01
software engineer,"250,000",Annual,"San Diego, CA",Levelsfyi.com,2023-12-01
software engineer,"176,933",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"80,000",Annual,"Columbus, OH",Levelsfyi.com,2023-12-01
software engineer,"133,000",Annual,"Cedar Park, TX",Levelsfyi.com,2023-12-01
software engineer,"220,600",Annual,"Boston, MA",Levelsfyi.com,2023-12-01
software engineer,"142,000",Annual,"Cincinnati, OH",Levelsfyi.com,2023-12-01
software engineer,"163,273",Annual,"Olathe, KS",Levelsfyi.com,2023-12-01
software engineer,"300,000",Annual,"Chicago, IL",Levelsfyi.com,2023-12-01
software engineer,"180,000",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"194,030",Annual,"Santa Clara, CA",Levelsfyi.com,2023-12-01
software engineer,"128,000",Annual,"Tampa, FL",Levelsfyi.com,2023-12-01
software engineer,"280,000",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"100,000",Annual,"New York, NY",Levelsfyi.com,2023-12-01
software engineer,"490,000",Annual,"San Francisco, CA",Levelsfyi.com,2023-12-01
software engineer,"130,000",Annual,"Charlotte, NC",Levelsfyi.com,2023-12-01
software engineer,"50,000",Annual,"Los Angeles, CA",Levelsfyi.com,2023-12-01
software engineer,"79,000",Annual,"Minneapolis, MN",Levelsfyi.com,2023-12-01
software engineer,"534,928",Annual,"New York, NY",Levelsfyi.com,2023-12-01
software engineer,"191,000",Annual,"Los Angeles, CA",Levelsfyi.com,2023-12-01
software engineer,"201,250",Annual,"New York, NY",Levelsfyi.com,2023-12-01
software engineer,"188,000",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"166,000",Annual,"Boston, MA",Levelsfyi.com,2023-12-01
software engineer,"240,000",Annual,"New York, NY",Levelsfyi.com,2023-12-01
software engineer,"118,800",Annual,"San Jose, CA",Levelsfyi.com,2023-12-01
software engineer,"250,000",Annual,"Phoenix, AZ",Levelsfyi.com,2023-12-01
software engineer,"135,000",Annual,"Houston, TX",Levelsfyi.com,2023-12-01
software engineer,"199,490",Annual,"Los Angeles, CA",Levelsfyi.com,2023-12-01
software engineer,"150,000",Annual,"Palo Alto, CA",Levelsfyi.com,2023-12-01
software engineer,"237,500",Annual,"San Francisco, CA",Levelsfyi.com,2023-12-01
software engineer,"169,000",Annual,"Linthicum Heights, MD",Levelsfyi.com,2023-12-01
software engineer,"292,500",Annual,"San Jose, CA",Levelsfyi.com,2023-12-01
software engineer,"315,000",Annual,"San Francisco, CA",Levelsfyi.com,2023-12-01
software engineer,"210,000",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"100,000",Annual,"San Francisco, CA",Levelsfyi.com,2023-12-01
software engineer,"231,600",Annual,"Austin, TX",Levelsfyi.com,2023-12-01
software engineer,"292,050",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"350,000",Annual,"San Francisco, CA",Levelsfyi.com,2023-12-01
software engineer,"111,325",Annual,"Dallas, TX",Levelsfyi.com,2023-12-01
software engineer,"312,500",Annual,"Bellevue, WA",Levelsfyi.com,2023-12-01
software engineer,"300,000",Annual,"San Jose, CA",Levelsfyi.com,2023-12-01
software engineer,"65,990",Annual,"Miami, FL",Levelsfyi.com,2023-12-01
software engineer,"210,000",Annual,"Washington, DC",Levelsfyi.com,2023-12-01
software engineer,"170,000",Annual,"San Diego, CA",Levelsfyi.com,2023-12-01
software engineer,"303,500",Annual,"Sunnyvale, CA",Levelsfyi.com,2023-12-01
software engineer,"108,000",Annual,"Poway, CA",Levelsfyi.com,2023-12-01
software engineer,"120,000",Annual,"Boston, MA",Levelsfyi.com,2023-12-01
software engineer,"194,000",Annual,"Kirkland, WA",Levelsfyi.com,2023-12-01
software engineer,"330,000",Annual,"San Francisco, CA",Levelsfyi.com,2023-12-01
software engineer,"150,000",Annual,"Jersey City, NJ",Levelsfyi.com,2023-12-01
software engineer,"269,821",Annual,"New York, NY",Levelsfyi.com,2023-12-01
software engineer,"178,000",Annual,"Portsmouth, NH",Levelsfyi.com,2023-12-01
software engineer,"260,000",Annual,"Jersey City, NJ",Levelsfyi.com,2023-12-01
software engineer,"165,000",Annual,"Durham, NC",Levelsfyi.com,2023-12-01
software engineer,"370,000",Annual,"Los Angeles, CA",Levelsfyi.com,2023-12-01
software engineer,"181,000",Annual,"Los Angeles, CA",Levelsfyi.com,2023-12-01
software engineer,"150,000",Annual,"Verona, WI",Levelsfyi.com,2023-12-01
software engineer,"256,500",Annual,"San Francisco, CA",Levelsfyi.com,2023-12-01
software engineer,"280,000",Annual,"San Francisco, CA",Levelsfyi.com,2023-12-01
software engineer,"130,000",Annual,"Roseville, CA",Levelsfyi.com,2023-12-01
software engineer,"327,000",Annual,"New York, NY",Levelsfyi.com,2023-12-01
software engineer,"136,000",Annual,"Salt Lake City, UT",Levelsfyi.com,2023-12-01
software engineer,"204,250",Annual,"Santa Clara, CA",Levelsfyi.com,2023-12-01
software engineer,"255,381",Annual,"Redmond, WA",Levelsfyi.com,2023-12-01
software engineer,"140,000",Annual,"Dallas, TX",Levelsfyi.com,2023-12-01
software engineer,"302,000",Annual,"San Francisco, CA",Levelsfyi.com,2023-12-01
software engineer,"175,000",Annual,"Seattle, WA",Levelsfyi.com,2023-12-01
software engineer,"119,000",Annual,"Detroit, MI",Levelsfyi.com,2023-12-01
software engineer,"49,920",Annual,"Chicago, IL",Levelsfyi.com,2023-12-01
software engineer,"117,200",Annual,"Huntsville, AL",Levelsfyi.com,2023-12-01
