Job,Salary,Salary_Type,Location,Website,Scrape Date
Archivist,"53,880",Annually,US,Onlinedegree,2023-12-01
City Clerk,"38,230",Annually,US,Onlinedegree,2023-12-01
Claims Clerk,"29,900",Annually,US,Onlinedegree,2023-12-01
Court Reporter,"54,720",Annually,US,Onlinedegree,2023-12-01
Courtroom Clerk,"38,230",Annually,US,Onlinedegree,2023-12-01
Credit Analyst,"79,720",Annually,US,Onlinedegree,2023-12-01
Criminal Intelligence Analyst,"79,620",Annually,US,Onlinedegree,2023-12-01
Data Entry Clerk,"30,810",Annually,US,Onlinedegree,2023-12-01
Healthcare Administrator,"106,070",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Human Resources Specialist (HR),"65,100",Annually,US,Onlinedegree,2023-12-01
Insurance Underwriter,"72,650",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Librarian,"58,930",Annually,US,Onlinedegree,2023-12-01
Library Technician,"34,200",Annually,US,Onlinedegree,2023-12-01
Medical Records Clerk,"29,900",Annually,US,Onlinedegree,2023-12-01
Medical Records Technician,"40,430",Annually,US,Onlinedegree,2023-12-01
Medical Secretary,"34,330",Annually,US,Onlinedegree,2023-12-01
Medical Transcriptionist,"35,720",Annually,US,Onlinedegree,2023-12-01
Medicare Benefits Caseworker,"43,040",Annually,US,Onlinedegree,2023-12-01
Meter Maid,"38,280",Annually,US,Onlinedegree,2023-12-01
Nursing Home Administrator,"106,070",Annually,US,Onlinedegree,2023-12-01
Office Manager,"94,840",Annually,US,Onlinedegree,2023-12-01
Paralegal,"52,390",Annually,US,Onlinedegree,2023-12-01
Parking Enforcement,"38,280",Annually,US,Onlinedegree,2023-12-01
Patient Coordinator,"34,330",Annually,US,Onlinedegree,2023-12-01
Payroll Clerk,"42,130",Annually,US,Onlinedegree,2023-12-01
Pharmacist Assistant,"27,460",Annually,US,Onlinedegree,2023-12-01
Police Records Clerk,"29,900",Annually,US,Onlinedegree,2023-12-01
Receptionist,"31,890",Annually,US,Onlinedegree,2023-12-01
School Librarian,"58,930",Annually,US,Onlinedegree,2023-12-01
Social Security Benefits Caseworker,"43,040",Annually,US,Onlinedegree,2023-12-01
Translator,"48,360",Annually,US,Onlinedegree,2023-12-01
Unemployment Benefits Caseworker,"43,040",Annually,US,Onlinedegree,2023-12-01
Welfare Caseworker,"43,040",Annually,US,Onlinedegree,2023-12-01
Advertising Account Executive,"61,690",Annually,US,Onlinedegree,2023-12-01
Advertising Executive,"113,610",Annually,US,Onlinedegree,2023-12-01
Billboard Advertising Salesperson,"61,690",Annually,US,Onlinedegree,2023-12-01
Brand Manager,"140,660",Annually,US,Onlinedegree,2023-12-01
Census Worker,"32,930",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Display Banner Ads Salesperson,"61,690",Annually,US,Onlinedegree,2023-12-01
Fashion Model,"37,240",Annually,US,Onlinedegree,2023-12-01
Fitness Model,"37,240",Annually,US,Onlinedegree,2023-12-01
Graphic Designer,"51,640",Annually,US,Onlinedegree,2023-12-01
Logo Designer,"51,640",Annually,US,Onlinedegree,2023-12-01
Market Research Analyst,"70,030",Annually,US,Onlinedegree,2023-12-01
Marketing Manager,"140,660",Annually,US,Onlinedegree,2023-12-01
Package Designer,"51,640",Annually,US,Onlinedegree,2023-12-01
Plus-Size Model,"37,240",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Radio Ads Salesperson,"61,690",Annually,US,Onlinedegree,2023-12-01
SEO Specialist,"87,310",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Visual Merchandiser,"29,790",Annually,US,Onlinedegree,2023-12-01
Website Designer,"51,640",Annually,US,Onlinedegree,2023-12-01
Agricultural Engineer,"78,490",Annually,US,Onlinedegree,2023-12-01
Agricultural Inspector,"43,810",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Animal Breeder,"44,650",Annually,US,Onlinedegree,2023-12-01
Animal Nutritionist,"71,830",Annually,US,Onlinedegree,2023-12-01
Animal Scientist,"71,830",Annually,US,Onlinedegree,2023-12-01
Barley Roaster,"30,320",Annually,US,Onlinedegree,2023-12-01
Coffee Roaster,"30,320",Annually,US,Onlinedegree,2023-12-01
Dairy Farmer,"69,880",Annually,US,Onlinedegree,2023-12-01
Enologist,"72,030",Annually,US,Onlinedegree,2023-12-01
Ethologist,"71,830",Annually,US,Onlinedegree,2023-12-01
Farm Agricultural Worker,"31,850",Annually,US,Onlinedegree,2023-12-01
Farm Equipment Mechanic,"38,510",Annually,US,Onlinedegree,2023-12-01
Farm Equipment Operator,"29,380",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Fish & Meat Smoker,"30,320",Annually,US,Onlinedegree,2023-12-01
Fish Hatchery Manager,"69,880",Annually,US,Onlinedegree,2023-12-01
Fishing Boat Cabin,"30,370",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Food Science Technician,"39,000",Annually,US,Onlinedegree,2023-12-01
Food Scientist,"72,030",Annually,US,Onlinedegree,2023-12-01
Gardener,"27,460",Annually,US,Onlinedegree,2023-12-01
Hydrologist,"83,440",Annually,US,Onlinedegree,2023-12-01
Livestock Buyer,"62,280",Annually,US,Onlinedegree,2023-12-01
Millwright,"52,650",Annually,US,Onlinedegree,2023-12-01
Mycologist,"77,190",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Tractor Mechanic,"38,510",Annually,US,Onlinedegree,2023-12-01
Vineyard Manager,"69,880",Annually,US,Onlinedegree,2023-12-01
Whaler,"30,370",Annually,US,Onlinedegree,2023-12-01
Agricultural Inspector,"43,810",Annually,US,Onlinedegree,2023-12-01
Animal Breeder,"44,650",Annually,US,Onlinedegree,2023-12-01
Animal Cruelty Investigator,"35,330",Annually,US,Onlinedegree,2023-12-01
Animal Nutritionist,"71,830",Annually,US,Onlinedegree,2023-12-01
Animal Scientist,"71,830",Annually,US,Onlinedegree,2023-12-01
Animal Trainer,"33,600",Annually,US,Onlinedegree,2023-12-01
Animal Trapper & Hunter,"30,370",Annually,US,Onlinedegree,2023-12-01
Cat Groomer,"23,630",Annually,US,Onlinedegree,2023-12-01
Conservation Officer,"54,970",Annually,US,Onlinedegree,2023-12-01
Dairy Farmer,"69,880",Annually,US,Onlinedegree,2023-12-01
Dog Groomer,"23,630",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Dog Trainer,"33,600",Annually,US,Onlinedegree,2023-12-01
Dog Walker,"23,630",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Ethologist,"71,830",Annually,US,Onlinedegree,2023-12-01
Fish Hatchery Manager,"69,880",Annually,US,Onlinedegree,2023-12-01
Horse Trainer,"33,600",Annually,US,Onlinedegree,2023-12-01
Paleontologist,"105,720",Annually,US,Onlinedegree,2023-12-01
Pet Groomer,"23,630",Annually,US,Onlinedegree,2023-12-01
Wildlife Conservationist,"63,800",Annually,US,Onlinedegree,2023-12-01
Zookeeper,"23,630",Annually,US,Onlinedegree,2023-12-01
Architect,"82,850",Annually,US,Onlinedegree,2023-12-01
Brickmason,"51,750",Annually,US,Onlinedegree,2023-12-01
Building Inspector,"60,030",Annually,US,Onlinedegree,2023-12-01
Building Project Manager,"141,650",Annually,US,Onlinedegree,2023-12-01
Cabinetmaker,"33,980",Annually,US,Onlinedegree,2023-12-01
Carpenter,"46,780",Annually,US,Onlinedegree,2023-12-01
Carpet Installer,"43,210",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Civil Engineer,"87,940",Annually,US,Onlinedegree,2023-12-01
Commercial Painter,"40,540",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Construction Worker,"36,550",Annually,US,Onlinedegree,2023-12-01
Cost Estimator,"64,810",Annually,US,Onlinedegree,2023-12-01
Crane Operator,"54,560",Annually,US,Onlinedegree,2023-12-01
Drafter,"53,470",Annually,US,Onlinedegree,2023-12-01
Electrical Engineer (EE),"97,340",Annually,US,Onlinedegree,2023-12-01
Electrician,"55,590",Annually,US,Onlinedegree,2023-12-01
Environmental Engineer,"88,040",Annually,US,Onlinedegree,2023-12-01
General Contractor,"97,510",Annually,US,Onlinedegree,2023-12-01
Glazier,"45,420",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Groundskeeper,"27,460",Annually,US,Onlinedegree,2023-12-01
Heavy Equipment Mechanic,"50,080",Annually,US,Onlinedegree,2023-12-01
Home Inspector,"60,030",Annually,US,Onlinedegree,2023-12-01
HVAC Technician,"47,380",Annually,US,Onlinedegree,2023-12-01
Interior Designer,"55,510",Annually,US,Onlinedegree,2023-12-01
Laminate & Vinyl Floor Installer,"42,520",Annually,US,Onlinedegree,2023-12-01
Landscape Architect,"68,600",Annually,US,Onlinedegree,2023-12-01
Landscaper,"27,460",Annually,US,Onlinedegree,2023-12-01
LEED Sustainability Specialist,"73,480",Annually,US,Onlinedegree,2023-12-01
Locksmith,"41,270",Annually,US,Onlinedegree,2023-12-01
Logger,"36,930",Annually,US,Onlinedegree,2023-12-01
Marine Engineer,"100,090",Annually,US,Onlinedegree,2023-12-01
Mechanical Drafter,"56,610",Annually,US,Onlinedegree,2023-12-01
Mechanical Engineer,"88,190",Annually,US,Onlinedegree,2023-12-01
Millwright,"52,650",Annually,US,Onlinedegree,2023-12-01
Miner,"49,740",Annually,US,Onlinedegree,2023-12-01
Naval Architect,"100,090",Annually,US,Onlinedegree,2023-12-01
Solar Panel Technician,"39,500",Annually,US,Onlinedegree,2023-12-01
Structural Engineer,"87,940",Annually,US,Onlinedegree,2023-12-01
Timber Buyer,"37,420",Annually,US,Onlinedegree,2023-12-01
Transportation Engineer,"87,940",Annually,US,Onlinedegree,2023-12-01
Underwater Welder,"54,640",Annually,US,Onlinedegree,2023-12-01
Valve Technician,"55,760",Annually,US,Onlinedegree,2023-12-01
Waste Management Engineer,"88,040",Annually,US,Onlinedegree,2023-12-01
Welding Inspector,"60,030",Annually,US,Onlinedegree,2023-12-01
3D Animator,"70,300",Annually,US,Onlinedegree,2023-12-01
Actors,9.7%,Annually,US,Onlinedegree,2023-12-01
Animator,"70,300",Annually,US,Onlinedegree,2023-12-01
Art Conservator,"44,880",Annually,US,Onlinedegree,2023-12-01
Art Model,"37,240",Annually,US,Onlinedegree,2023-12-01
Art Painter,"54,170",Annually,US,Onlinedegree,2023-12-01
Art Restorer,"54,170",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Athletic Director,"92,940",Annually,US,Onlinedegree,2023-12-01
Athletic Trainer,"46,940",Annually,US,Onlinedegree,2023-12-01
Audio Visual Technician,"46,630",Annually,US,Onlinedegree,2023-12-01
Ballet Dancer,4.6%,Annually,US,Onlinedegree,2023-12-01
Band Manager,"95,810",Annually,US,Onlinedegree,2023-12-01
Baseball Scout,"40,050",Annually,US,Onlinedegree,2023-12-01
Basketball Coach,"40,050",Annually,US,Onlinedegree,2023-12-01
Beautician,"28,770",Annually,US,Onlinedegree,2023-12-01
Belly Dancer,4.6%,Annually,US,Onlinedegree,2023-12-01
Book Publisher Editor,"64,910",Annually,US,Onlinedegree,2023-12-01
Broadcast Engineer,"44,050",Annually,US,Onlinedegree,2023-12-01
Cartoonist,"54,170",Annually,US,Onlinedegree,2023-12-01
Ceramic Pottery Maker,"35,710",Annually,US,Onlinedegree,2023-12-01
Choreographer,"51,560",Annually,US,Onlinedegree,2023-12-01
Cirque Du Soleil Acrobat,7%,Annually,US,Onlinedegree,2023-12-01
Coffee Roaster,"30,320",Annually,US,Onlinedegree,2023-12-01
Comic Book Artist,"54,170",Annually,US,Onlinedegree,2023-12-01
Copy Editor,"64,910",Annually,US,Onlinedegree,2023-12-01
Cosmetologist,"28,770",Annually,US,Onlinedegree,2023-12-01
Costume Designer,"73,180",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Curator,"56,990",Annually,US,Onlinedegree,2023-12-01
Dance Professor,"76,710",Annually,US,Onlinedegree,2023-12-01
Drama Professor,"76,710",Annually,US,Onlinedegree,2023-12-01
Entertainment Lawyer,"136,260",Annually,US,Onlinedegree,2023-12-01
