Job Title,Salary,Salary_Type,location,Source,Scrape_Date
"ATF (Alcohol, Tobacco and Firearms) Agent","$77,120",Annually,US,Shmoop,2023-12-01
"Accountant, Certified and Public","$63,550",Annually,US,Shmoop,2023-12-01
Actor,"$51,880",Annually,US,Shmoop,2023-12-01
Actuary,"$93,680",Annually,US,Shmoop,2023-12-01
Acupuncturist,"$85,740",Annually,US,Shmoop,2023-12-01
Adminstrative Assistant,"$35,330",Annually,US,Shmoop,2023-12-01
Adventure Travel Leader,"$38,260",Annually,US,Shmoop,2023-12-01
Advertising Sales Representative,"$46,290",Annually,US,Shmoop,2023-12-01
Advice Columnist,"$52,810",Annually,US,Shmoop,2023-12-01
Aerospace Engineer,"$103,720",Annually,US,Shmoop,2023-12-01
Air Marshal,"$65,000",Annually,US,Shmoop,2023-12-01
Air Tanker Pilot,"$48,000",Annually,US,Shmoop,2023-12-01
Air Traffic Controller,"$122,530",Annually,US,Shmoop,2023-12-01
Aircraft Mechanic,"$55,230",Annually,US,Shmoop,2023-12-01
Amusement Arcade Worker,"$29,770",Annually,US,Shmoop,2023-12-01
Anesthesiologist,"$300,000",Annually,US,Shmoop,2023-12-01
Animal Control Worker,"$34,370",Annually,US,Shmoop,2023-12-01
Animal Trainer,"$25,270",Annually,US,Shmoop,2023-12-01
Anthropologist,"$57,420",Annually,US,Shmoop,2023-12-01
Antiques Dealer,"$45,000",Annually,US,Shmoop,2023-12-01
Appraiser,"$55,400",Annually,US,Shmoop,2023-12-01
Arbitrator,"$76,840",Annually,US,Shmoop,2023-12-01
Arborist,"$39,000",Annually,US,Shmoop,2023-12-01
Archaeologist,"$57,420",Annually,US,Shmoop,2023-12-01
Architect,"$73,090",Annually,US,Shmoop,2023-12-01
Archivist,"$52,930",Annually,US,Shmoop,2023-12-01
Art Director,"$80,880",Annually,US,Shmoop,2023-12-01
Art Therapist,"$68,900",Annually,US,Shmoop,2023-12-01
Astronaut,"$82,700",Annually,US,Shmoop,2023-12-01
Astronomer,"$106,000",Annually,US,Shmoop,2023-12-01
Astrophysicist,"$106,360",Annually,US,Shmoop,2023-12-01
Athletic Coach,"$39,590",Annually,US,Shmoop,2023-12-01
Au Pair/Nanny,"$20,000",Annually,US,Shmoop,2023-12-01
Auctioneer,"$46,000",Annually,US,Shmoop,2023-12-01
Audio Engineer,"$46,000",Annually,US,Shmoop,2023-12-01
Audiologist,"$69,720",Annually,US,Shmoop,2023-12-01
Auto Mechanic,"$37,000",Annually,US,Shmoop,2023-12-01
Aviation Safety Inspector,"$87,000",Annually,US,Shmoop,2023-12-01
B&B Owner,"$60,000",Annually,US,Shmoop,2023-12-01
Baggage Handler,"$37,000",Annually,US,Shmoop,2023-12-01
Bailiff,"$37,000",Annually,US,Shmoop,2023-12-01
Baker,"$23,140",Annually,US,Shmoop,2023-12-01
Ballerina,"$40,000",Annually,US,Shmoop,2023-12-01
Band Manager,"$71,340",Annually,US,Shmoop,2023-12-01
Barista,"$22,000",Annually,US,Shmoop,2023-12-01
Bartender,"$26,000",Annually,US,Shmoop,2023-12-01
Baseball Manager,"$825,000",Annually,US,Shmoop,2023-12-01
Baseball Player,"$3,730,000",Annually,US,Shmoop,2023-12-01
Basketball Player,"$5,200,000",Annually,US,Shmoop,2023-12-01
Beautician/Cosmetologist,"$25,000",Annually,US,Shmoop,2023-12-01
Beekeeper,"$70,110",Annually,US,Shmoop,2023-12-01
Bellboy,"$21,000",Annually,US,Shmoop,2023-12-01
Bike Messenger,"$25,000",Annually,US,Shmoop,2023-12-01
Biological Scientist,"$75,160",Annually,US,Shmoop,2023-12-01
Biosystems Engineer,"$60,000",Annually,US,Shmoop,2023-12-01
Blacksmith,"$51,981",Annually,US,Shmoop,2023-12-01
Bookie,"$21,810",Annually,US,Shmoop,2023-12-01
Bookkeeper,"$35,170",Annually,US,Shmoop,2023-12-01
Border Patrol Agent,"$70,910",Annually,US,Shmoop,2023-12-01
Botanist,"$62,400",Annually,US,Shmoop,2023-12-01
Boxer,"$75,760",Annually,US,Shmoop,2023-12-01
Brain Surgeon,"$393,000",Annually,US,Shmoop,2023-12-01
Brewer,"$35,000",Annually,US,Shmoop,2023-12-01
Bus Driver,"$34,000",Annually,US,Shmoop,2023-12-01
Butcher,"$28,660",Annually,US,Shmoop,2023-12-01
CIA Clandestine Services Operation Officer,"$70,000",Annually,US,Shmoop,2023-12-01
Caddie,"$52,000",Annually,US,Shmoop,2023-12-01
Camp Counselor,"$1,880",Annually,US,Shmoop,2023-12-01
Cancer Biologist,"$79,840",Annually,US,Shmoop,2023-12-01
Car Sales Agent,"$42,000",Annually,US,Shmoop,2023-12-01
Cardiologist,"$300,000",Annually,US,Shmoop,2023-12-01
Carpenter,"$39,940",Annually,US,Shmoop,2023-12-01
Cartographer,"$57,440",Annually,US,Shmoop,2023-12-01
Cartoonist,"$45,000",Annually,US,Shmoop,2023-12-01
Cashier,"$18,970",Annually,US,Shmoop,2023-12-01
Caterer,"$53,000",Annually,US,Shmoop,2023-12-01
Cattle Rancher,"$40,401",Annually,US,Shmoop,2023-12-01
Celebrity Personal Assistant,"$80,000",Annually,US,Shmoop,2023-12-01
Chauffeur,"$42,000",Annually,US,Shmoop,2023-12-01
Cheerleader,"$3,000",Annually,US,Shmoop,2023-12-01
Chef,"$47,000",Annually,US,Shmoop,2023-12-01
Chemical Engineer,"$94,350",Annually,US,Shmoop,2023-12-01
Chemist,"$71,770",Annually,US,Shmoop,2023-12-01
Child Psychologist,"$68,000",Annually,US,Shmoop,2023-12-01
Chiropractor,"$60,000",Annually,US,Shmoop,2023-12-01
Choreographer,"$44,130",Annually,US,Shmoop,2023-12-01
Cinematographer,"$51,300",Annually,US,Shmoop,2023-12-01
Civil Engineer,"$79,340",Annually,US,Shmoop,2023-12-01
Clown,"$36,000",Annually,US,Shmoop,2023-12-01
Coast Guard,"$75,000",Annually,US,Shmoop,2023-12-01
Coder,"$74,280",Annually,US,Shmoop,2023-12-01
College Admissions Officer,"$38,570",Annually,US,Shmoop,2023-12-01
Commercial Airline Pilot,"$115,000",Annually,US,Shmoop,2023-12-01
Commercial Bank Manager,"$56,000",Annually,US,Shmoop,2023-12-01
Commercial Diver,"$45,890",Annually,US,Shmoop,2023-12-01
Computer Animator,"$61,370",Annually,US,Shmoop,2023-12-01
Computer Programmer,"$74,280",Annually,US,Shmoop,2023-12-01
Computer Repair Technician,"$36,620",Annually,US,Shmoop,2023-12-01
Computer Scientist,"$102,190",Annually,US,Shmoop,2023-12-01
Concert/Event Promoter,"$48,360",Annually,US,Shmoop,2023-12-01
Concierge Doctor,"$225,000",Annually,US,Shmoop,2023-12-01
Conservationist,"$61,100",Annually,US,Shmoop,2023-12-01
Consumer Safety Inspector,"$41,000",Annually,US,Shmoop,2023-12-01
Container Ship Sailor,"$40,970",Annually,US,Shmoop,2023-12-01
Copy Editor,"$53,880",Annually,US,Shmoop,2023-12-01
Coroner,"$65,000",Annually,US,Shmoop,2023-12-01
Corporate Events Manager,"$45,810",Annually,US,Shmoop,2023-12-01
Corporate Lawyer,"$98,290",Annually,US,Shmoop,2023-12-01
Corporate Relocation Specialist,"$50,000",Annually,US,Shmoop,2023-12-01
Corporate Social Responsibility Manager,"$108,000",Annually,US,Shmoop,2023-12-01
Correctional Institution Administrator,"$55,000",Annually,US,Shmoop,2023-12-01
Correctional Officer/Prison Guard,"$38,970",Annually,US,Shmoop,2023-12-01
Cosmetic Surgeon (Beverly Hills),"$408,000",Annually,US,Shmoop,2023-12-01
Cosmetic Surgeon (Charitable),"$75,000",Annually,US,Shmoop,2023-12-01
Costume Designer,"$39,540",Annually,US,Shmoop,2023-12-01
Country Club Manager,"$55,000",Annually,US,Shmoop,2023-12-01
Credit Analyst,"$75,970",Annually,US,Shmoop,2023-12-01
Criminal Investigator,"$74,300",Annually,US,Shmoop,2023-12-01
Criminal Justice Lawyer,"$78,500",Annually,US,Shmoop,2023-12-01
Crop Farmer,"$70,110",Annually,US,Shmoop,2023-12-01
Crossword Puzzle Writer,"$10,000",Annually,US,Shmoop,2023-12-01
Cryptographer,"$100,000",Annually,US,Shmoop,2023-12-01
Curator,"$49,590",Annually,US,Shmoop,2023-12-01
Customer Service Rep,"$33,000",Annually,US,Shmoop,2023-12-01
Customs and Immigration Inspector,"$76,730",Annually,US,Shmoop,2023-12-01
Cytogenetic Technologist,"$59,000",Annually,US,Shmoop,2023-12-01
DMV Worker,"$35,000",Annually,US,Shmoop,2023-12-01
Dancer,"$30,720",Annually,US,Shmoop,2023-12-01
Database Administrator,"$80,280",Annually,US,Shmoop,2023-12-01
Day Care Operator,"$40,880",Annually,US,Shmoop,2023-12-01
