Index,Salary,Location,Website,Scrape Date
.NET+Analyst,"$74,359","Dallas, US",SimplyHired,2023-11-30
.NET+Application+Developer,"$109,306","Dallas, US",SimplyHired,2023-11-30
.NET+Architect,"$134,796","Dallas, US",SimplyHired,2023-11-30
.NET+Azure+Developer,"$109,306","Dallas, US",SimplyHired,2023-11-30
.NET+Backup+Administrator,"$76,972","Dallas, US",SimplyHired,2023-11-30
.NET+Consultant,"$88,450","Dallas, US",SimplyHired,2023-11-30
.NET+Developer,"$109,306","Dallas, US",SimplyHired,2023-11-30
.NET+Engineer,"$109,306","Dallas, US",SimplyHired,2023-11-30
.NET+Junior+Developer,"$109,306","Dallas, US",SimplyHired,2023-11-30
.NET+Lead,"$117,668","Dallas, US",SimplyHired,2023-11-30
.NET+Programmer,"$109,306","Dallas, US",SimplyHired,2023-11-30
.NET+Senior+Developer,"$109,306","Dallas, US",SimplyHired,2023-11-30
.NET+Software+Developer,"$109,306","Dallas, US",SimplyHired,2023-11-30
.NET+Software+Engineer,"$109,306","Dallas, US",SimplyHired,2023-11-30
.NET+Software+Programmer,"$109,306","Dallas, US",SimplyHired,2023-11-30
.NET+Specialist,$19.88,"Dallas, US",SimplyHired,2023-11-30
.NET+Web+Developer,"$109,306","Dallas, US",SimplyHired,2023-11-30
10+Ton+Driver,$17.96,"Dallas, US",SimplyHired,2023-11-30
10th+Grade+Teacher,$22.50,"Dallas, US",SimplyHired,2023-11-30
11th+Grade+Teacher,$22.50,"Dallas, US",SimplyHired,2023-11-30
12B+Combat+Engineer,"$45,910","Dallas, US",SimplyHired,2023-11-30
12th+Grade+Teacher,$22.50,"Dallas, US",SimplyHired,2023-11-30
19D+Cavalry+Scout,"$48,122","Dallas, US",SimplyHired,2023-11-30
1st+Deputy+Fire,$15.68,"Dallas, US",SimplyHired,2023-11-30
1st+Grade+Teacher,$22.50,"Dallas, US",SimplyHired,2023-11-30
211+Call+Center+Specialist,$16.09,"Dallas, US",SimplyHired,2023-11-30
2D+And+3D+Animator,$23.67,"Dallas, US",SimplyHired,2023-11-30
2D+And+3D+Technical+Illustrator,"$47,907","Dallas, US",SimplyHired,2023-11-30
2D+Animator,$23.67,"Dallas, US",SimplyHired,2023-11-30
2D+Artist,"$84,912","Dallas, US",SimplyHired,2023-11-30
2D+Computer+Graphics+Visual+Effects+Artist,$18.61,"Dallas, US",SimplyHired,2023-11-30
2D+Concept+Artist,"$84,912","Dallas, US",SimplyHired,2023-11-30
2D+Game+Artist,"$84,912","Dallas, US",SimplyHired,2023-11-30
2D+Lead+Artist,"$84,912","Dallas, US",SimplyHired,2023-11-30
2D+Senior+VFX+Artist,"$84,912","Dallas, US",SimplyHired,2023-11-30
2nd+Grade+Teacher,$22.50,"Dallas, US",SimplyHired,2023-11-30
3.5+Ton+Driver,$17.96,"Dallas, US",SimplyHired,2023-11-30
31B+Military+Police,"$45,784","Dallas, US",SimplyHired,2023-11-30
3D+Animator,"$106,609","Dallas, US",SimplyHired,2023-11-30
3D+Applications+Software+Engineer,"$101,336","Dallas, US",SimplyHired,2023-11-30
3D+Applications+Specialist,"$74,335","Dallas, US",SimplyHired,2023-11-30
3D+Architectural+Drafter,$24.45,"Dallas, US",SimplyHired,2023-11-30
3D+Architectural+Visualizer,$30.20,"Dallas, US",SimplyHired,2023-11-30
3D+Art+Curator,$18.67,"Dallas, US",SimplyHired,2023-11-30
3D+Art+Designer,$29.13,"Dallas, US",SimplyHired,2023-11-30
3D+Art+Developer,"$93,392","Dallas, US",SimplyHired,2023-11-30
3D+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+CAD+Designer,$29.13,"Dallas, US",SimplyHired,2023-11-30
3D+CAD+Technician,$24.21,"Dallas, US",SimplyHired,2023-11-30
3D+Character+Animator,"$106,609","Dallas, US",SimplyHired,2023-11-30
3D+Character+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+Civil+Drafter,$24.45,"Dallas, US",SimplyHired,2023-11-30
3D+Computer+Graphic+Layout+Artist,$18.61,"Dallas, US",SimplyHired,2023-11-30
3D+Computer+Graphics+Artist,$18.61,"Dallas, US",SimplyHired,2023-11-30
3D+Conceptual+Graphic+Designer,$21.07,"Dallas, US",SimplyHired,2023-11-30
3D+Content+Producer,"$62,035","Dallas, US",SimplyHired,2023-11-30
3D+Creative+Designer,"$70,637","Dallas, US",SimplyHired,2023-11-30
3D+Design+And+Drafting+Engineer,$29.13,"Dallas, US",SimplyHired,2023-11-30
3D+Design+Modeler,$27.00,"Dallas, US",SimplyHired,2023-11-30
3D+Designer,$29.13,"Dallas, US",SimplyHired,2023-11-30
3D+Drafter,$24.45,"Dallas, US",SimplyHired,2023-11-30
3D+Engineer,"$93,392","Dallas, US",SimplyHired,2023-11-30
3D+Environment+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+Exhibit+Designer,$29.13,"Dallas, US",SimplyHired,2023-11-30
3D+Game+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+Graphic+Artist,$18.61,"Dallas, US",SimplyHired,2023-11-30
3D+Graphic+Designer,$21.07,"Dallas, US",SimplyHired,2023-11-30
3D+Layout+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+Lighting+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+Modeler,$27.00,"Dallas, US",SimplyHired,2023-11-30
3D+Modeler+And+Texture+Artist,$27.00,"Dallas, US",SimplyHired,2023-11-30
3D+Modeling+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+Modelling+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+Printer+Designer,$29.13,"Dallas, US",SimplyHired,2023-11-30
3D+Printer+Engineer,"$93,392","Dallas, US",SimplyHired,2023-11-30
3D+Printer+Operator,$17.34,"Dallas, US",SimplyHired,2023-11-30
3D+Printer+Programmer,$17.34,"Dallas, US",SimplyHired,2023-11-30
3D+Printer+Technician,$17.34,"Dallas, US",SimplyHired,2023-11-30
3D+Printing+Designer,$29.13,"Dallas, US",SimplyHired,2023-11-30
3D+Printing+Engineer,$21.09,"Dallas, US",SimplyHired,2023-11-30
3D+Printing+Operator,$17.29,"Dallas, US",SimplyHired,2023-11-30
3D+Printing+Programmer,$21.09,"Dallas, US",SimplyHired,2023-11-30
3D+Printing+Technician,$21.09,"Dallas, US",SimplyHired,2023-11-30
3D+Programmer,$36.82,"Dallas, US",SimplyHired,2023-11-30
3D+Render+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+Sculptor,$22.21,"Dallas, US",SimplyHired,2023-11-30
3D+Sonographer,"$2,047","Dallas, US",SimplyHired,2023-11-30
3D+Structural+Modeler,$27.00,"Dallas, US",SimplyHired,2023-11-30
3D+Technical+Designer,$29.13,"Dallas, US",SimplyHired,2023-11-30
3D+Visual+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+Visual+Effects+Artist,"$73,462","Dallas, US",SimplyHired,2023-11-30
3D+Visualization+Specialist,$24.49,"Dallas, US",SimplyHired,2023-11-30
3PL+Analyst,"$74,359","Dallas, US",SimplyHired,2023-11-30
3PL+Coordinator,$19.30,"Dallas, US",SimplyHired,2023-11-30
3PL+Logistics+Coordinator,$19.86,"Dallas, US",SimplyHired,2023-11-30
3PL+Logistics+Supply+Chain+Coordinator,"$96,129","Dallas, US",SimplyHired,2023-11-30
3PL+Supply+Chain+Coordinator,"$96,129","Dallas, US",SimplyHired,2023-11-30
