Index,Salary,Salary_Type,Location,Website,Scrape Date
.NET+Analyst,"95,000",Annually,US,Talent.com,2023-11-30
.NET+Application+Developer,"110,000",Annually,US,Talent.com,2023-11-30
.NET+Architect,"145,000",Annually,US,Talent.com,2023-11-30
.NET+Azure+Developer,"126,263",Annually,US,Talent.com,2023-11-30
.NET+Consultant,"126,750",Annually,US,Talent.com,2023-11-30
.NET+Developer,"109,935",Annually,US,Talent.com,2023-11-30
.NET+Engineer,"124,384",Annually,US,Talent.com,2023-11-30
.NET+Junior+Developer,"80,000",Annually,US,Talent.com,2023-11-30
.NET+Lead,"132,340",Annually,US,Talent.com,2023-11-30
.NET+Programmer,"99,954",Annually,US,Talent.com,2023-11-30
.NET+Senior+Developer,"123,023",Annually,US,Talent.com,2023-11-30
.NET+Software+Developer,"110,000",Annually,US,Talent.com,2023-11-30
.NET+Software+Engineer,"122,078",Annually,US,Talent.com,2023-11-30
.NET+Software+Programmer,"92,500",Annually,US,Talent.com,2023-11-30
.NET+Specialist,"89,553",Annually,US,Talent.com,2023-11-30
.NET+Web+Developer,"105,008",Annually,US,Talent.com,2023-11-30
10th+Grade+Teacher,"57,000",Annually,US,Talent.com,2023-11-30
11th+Grade+Teacher,"57,000",Annually,US,Talent.com,2023-11-30
12B+Combat+Engineer,"50,000",Annually,US,Talent.com,2023-11-30
12th+Grade+Teacher,"59,492",Annually,US,Talent.com,2023-11-30
19D+Cavalry+Scout,"50,000",Annually,US,Talent.com,2023-11-30
1st+Grade+Teacher,"55,253",Annually,US,Talent.com,2023-11-30
211+Call+Center+Specialist,"30,713",Annually,US,Talent.com,2023-11-30
2D+Animator,"51,675",Annually,US,Talent.com,2023-11-30
2D+Artist,"73,272",Annually,US,Talent.com,2023-11-30
2D+Compositor,"39,000",Annually,US,Talent.com,2023-11-30
2D+Concept+Artist,"171,000",Annually,US,Talent.com,2023-11-30
2D+Game+Artist,"75,000",Annually,US,Talent.com,2023-11-30
2D+Lead+Artist,"72,500",Annually,US,Talent.com,2023-11-30
2nd+Grade+Teacher,"54,981",Annually,US,Talent.com,2023-11-30
3.5+Ton+Driver,"41,600",Annually,US,Talent.com,2023-11-30
31B+Military+Police,"50,000",Annually,US,Talent.com,2023-11-30
3D+Animator,"76,763",Annually,US,Talent.com,2023-11-30
3D+Applications+Software+Engineer,"163,250",Annually,US,Talent.com,2023-11-30
3D+Architectural+Drafter,"70,000",Annually,US,Talent.com,2023-11-30
3D+Art+Designer,"50,960",Annually,US,Talent.com,2023-11-30
3D+Art+Developer,"75,000",Annually,US,Talent.com,2023-11-30
3D+Art+Lead,"171,000",Annually,US,Talent.com,2023-11-30
3D+Artist,"97,540",Annually,US,Talent.com,2023-11-30
3D+CAD+Designer,"64,516",Annually,US,Talent.com,2023-11-30
3D+CAD+Technician,"53,040",Annually,US,Talent.com,2023-11-30
3D+Character+Animator,"88,850",Annually,US,Talent.com,2023-11-30
3D+Character+Artist,"110,900",Annually,US,Talent.com,2023-11-30
3D+Civil+Drafter,"52,500",Annually,US,Talent.com,2023-11-30
3D+Content+Producer,"178,880",Annually,US,Talent.com,2023-11-30
3D+Design+Modeler,"43,875",Annually,US,Talent.com,2023-11-30
3D+Designer,"72,405",Annually,US,Talent.com,2023-11-30
3D+Drafter,"52,500",Annually,US,Talent.com,2023-11-30
3D+Engineer,"105,769",Annually,US,Talent.com,2023-11-30
3D+Environment+Artist,"91,000",Annually,US,Talent.com,2023-11-30
3D+Exhibit+Designer,"70,000",Annually,US,Talent.com,2023-11-30
3D+Game+Artist,"75,000",Annually,US,Talent.com,2023-11-30
3D+Graphic+Artist,"86,400",Annually,US,Talent.com,2023-11-30
