Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
Senior director of engineering,"600,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior software engineer,"225,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior BizOps manager,"210,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior machine learning engineer,"175,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"170,000",Annual,Remote,TopStartups.io,2023-12-01
Principal engineer,"250,000",Annual,Remote US,TopStartups.io,2023-12-01
Tech lead,"205,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"130,000",Annual,Remote Canada,TopStartups.io,2023-12-01
Senior product manager,"230,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Founding software engineer,"215,000",Annual,Remote US,TopStartups.io,2023-12-01
VP of Sales,"150,000",Annual,Remote,TopStartups.io,2023-12-01
Machine learning engineer,"160,000",Annual,Remote US,TopStartups.io,2023-12-01
Operations associate,"108,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior software engineer,"150,000",Annual,Remote US,TopStartups.io,2023-12-01
CTO,"140,000",Annual,Remote Australia,TopStartups.io,2023-12-01
VP of Product,"285,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Controls engineer,"155,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Hardware engineer,"175,000",Annual,Remote US,TopStartups.io,2023-12-01
Staff software engineer,"220,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"170,000",Annual,Remote US,TopStartups.io,2023-12-01
Product manager,"185,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of Design,"200,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Director of Marketing,"220,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior software engineer,"190,000",Annual,Remote US,TopStartups.io,2023-12-01
Product designer,"135,000",Annual,New York City,TopStartups.io,2023-12-01
VP of Engineering,"340,000",Annual,New York City,TopStartups.io,2023-12-01
Account executive,"250,000",Annual,Remote Canada,TopStartups.io,2023-12-01
Lead software engineer,"200,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
CEO,"250,000",Annual,Miami,TopStartups.io,2023-12-01
Founding software engineer,"170,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Director of Sales,"335,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Lead software engineer,"100,000",Annual,Remote US,TopStartups.io,2023-12-01
Chief of staff,"175,000",Annual,New York City,TopStartups.io,2023-12-01
VP of Engineering,"300,000",Annual,Los Angeles,TopStartups.io,2023-12-01
Director of Sales,"180,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Staff software engineer,"250,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"200,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Content marketing manager,"90,000",Annual,New York City,TopStartups.io,2023-12-01
VP of Product,"175,000",Annual,Remote,TopStartups.io,2023-12-01
Machine learning engineer,"296,000",Annual,Seattle,TopStartups.io,2023-12-01
Director of engineering,"250,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of Operations,"170,000",Annual,Remote,TopStartups.io,2023-12-01
Product engineer,"115,000",Annual,New York City,TopStartups.io,2023-12-01
Machine learning engineer,"190,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
BizOps manager,"140,000",Annual,New York City,TopStartups.io,2023-12-01
Machine learning engineer,"160,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Head of Data Science,"210,000",Annual,Remote US,TopStartups.io,2023-12-01
CEO,"210,000",Annual,New York City,TopStartups.io,2023-12-01
Machine learning engineer,"130,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
VP of Sales,"225,000",Annual,Remote US,TopStartups.io,2023-12-01
Staff software engineer,"230,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of Marketing,"330,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior machine learning engineer,"220,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Data scientist,"160,000",Annual,Remote,TopStartups.io,2023-12-01
Head of AI,"130,000",Annual,Remote US,TopStartups.io,2023-12-01
VP of Customer Success,"185,000",Annual,Remote US,TopStartups.io,2023-12-01
Director of AI,"180,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Founding software engineer,"210,000",Annual,New York City,TopStartups.io,2023-12-01
Full stack engineer,"180,000",Annual,Remote US,TopStartups.io,2023-12-01
Chief creative officer,"100,000",Annual,Amsterdam,TopStartups.io,2023-12-01
Lead machine learning engineer,"200,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior DevOps engineer,"165,000",Annual,Remote US,TopStartups.io,2023-12-01
Product manager,"145,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior backend engineer,"181,000",Annual,New York City,TopStartups.io,2023-12-01
Senior software engineer,"198,000",Annual,Remote US,TopStartups.io,2023-12-01
Principal engineer,"178,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"140,000",Annual,Toronto,TopStartups.io,2023-12-01
Senior software engineer,"185,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
CFO,"200,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior staff security engineer,"260,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"195,000",Annual,Remote US,TopStartups.io,2023-12-01
Director of Product,"250,000",Annual,New York City,TopStartups.io,2023-12-01
Engineering manager,"240,000",Annual,Los Angeles,TopStartups.io,2023-12-01
Director of Marketing,"217,000",Annual,Los Angeles,TopStartups.io,2023-12-01
Head of Finance,"220,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior security engineer,"150,000",Annual,Seattle,TopStartups.io,2023-12-01
Director of Finance,"220,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Product manager,"160,000",Annual,Boston,TopStartups.io,2023-12-01
Product lead,"300,000",Annual,Remote,TopStartups.io,2023-12-01
Senior hardware engineer,"200,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Director of Finance,"160,000",Annual,Washington DC,TopStartups.io,2023-12-01
Senior software engineer,"210,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
CEO,"450,000",Annual,Remote US,TopStartups.io,2023-12-01
Account executive,"100,000",Annual,Remote US,TopStartups.io,2023-12-01
Engineering manager,"225,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"125,000",Annual,San Diego,TopStartups.io,2023-12-01
Director of Marketing,"228,000",Annual,Remote US,TopStartups.io,2023-12-01
Principal engineer,"265,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of Product,"225,000",Annual,Remote US,TopStartups.io,2023-12-01
Founding software engineer,"170,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"208,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Staff software engineer,"210,000",Annual,Remote US,TopStartups.io,2023-12-01
Finance Manager,"130,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of Operations,"150,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Machine learning engineer,"185,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"160,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior product manager,"197,000",Annual,Remote US,TopStartups.io,2023-12-01
VP of Marketing,"175,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior security engineer,"200,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Head of Operations,"150,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"200,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"625,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
VP of Engineering,"225,000",Annual,Remote US,TopStartups.io,2023-12-01
Product analyst,"190,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior account executive,"320,000",Annual,New York City,TopStartups.io,2023-12-01
Staff data scientist,"250,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of Engineering,"150,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of Growth,"225,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior product manager,"200,000",Annual,Remote US,TopStartups.io,2023-12-01
VP of Finance,"180,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior strategy analyst,"132,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"200,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior frontend engineer,"180,000",Annual,Remote US,TopStartups.io,2023-12-01
Data scientist,"190,000",Annual,Remote US,TopStartups.io,2023-12-01
Frontend engineer,"166,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Content marketing manager,"105,000",Annual,New York City,TopStartups.io,2023-12-01
Senior brand designer,"130,000",Annual,Remote US,TopStartups.io,2023-12-01
Financial Controller,"138,000",Annual,Austin,TopStartups.io,2023-12-01
Director of Ops,"150,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior Director of Customer Success,"180,000",Annual,Remote US,TopStartups.io,2023-12-01
Founding software engineer,"140,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior product manager,"150,000",Annual,New York City,TopStartups.io,2023-12-01
Software engineer,"175,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior software engineer,"200,000",Annual,Remote,TopStartups.io,2023-12-01
Director of Product,"245,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Head of Design,"170,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"168,000",Annual,Remote US,TopStartups.io,2023-12-01
Staff software engineer,"200,000",Annual,Remote US,TopStartups.io,2023-12-01
Staff hardware engineer,"250,000",Annual,Remote US,TopStartups.io,2023-12-01
Founding software engineer,"182,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"180,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior data scientist,"175,000",Annual,Remote US,TopStartups.io,2023-12-01
Principal AI engineer,"155,000",Annual,Chicago,TopStartups.io,2023-12-01
Director of Product,"205,000",Annual,Remote US,TopStartups.io,2023-12-01
Sales executive,"300,000",Annual,New York City,TopStartups.io,2023-12-01
Software engineer,"170,000",Annual,Atlanta,TopStartups.io,2023-12-01
BizOps lead,"170,000",Annual,New York City,TopStartups.io,2023-12-01
Product designer,"125,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Head of People Operations,"200,000",Annual,Remote US,TopStartups.io,2023-12-01
Account executive,"220,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Machine learning engineer,"145,000",Annual,New York City,TopStartups.io,2023-12-01
SVP Strategy & BizOps,"375,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Machine learning engineer,"100,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"125,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior member of technical staff,"245,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
VP of Product,"300,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Product designer,"115,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Head of Product,"250,000",Annual,Remote US,TopStartups.io,2023-12-01
Engineering manager,"320,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"180,000",Annual,Remote US,TopStartups.io,2023-12-01
Engineering manager,"275,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"185,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Frontend engineer,"173,000",Annual,Remote Switzerland,TopStartups.io,2023-12-01
Senior engineering manager,"215,000",Annual,Remote US,TopStartups.io,2023-12-01
Customer success manager,"115,000",Annual,Remote US,TopStartups.io,2023-12-01
Data scientist,"153,000",Annual,Remote Canada,TopStartups.io,2023-12-01
Account executive,"325,000",Annual,Remote,TopStartups.io,2023-12-01
Senior machine learning engineer,"170,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior full stack engineer,"195,000",Annual,New York City,TopStartups.io,2023-12-01
Software engineer,"170,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
VP of Data Science,"300,000",Annual,Remote US,TopStartups.io,2023-12-01
Director of Finance,"210,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior product manager,"255,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"175,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"200,000",Annual,New York City,TopStartups.io,2023-12-01
Director of engineering,"195,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of Product,"180,000",Annual,Remote US,TopStartups.io,2023-12-01
Engineering manager,"252,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Director of BizOps,"360,000",Annual,New York City,TopStartups.io,2023-12-01
Product strategy,"215,000",Annual,New York City,TopStartups.io,2023-12-01
CEO,"150,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"140,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Integration manager,"180,000",Annual,Remote Canada,TopStartups.io,2023-12-01
Project manager,"120,000",Annual,Remote Canada,TopStartups.io,2023-12-01
Software engineer,"175,000",Annual,New York City,TopStartups.io,2023-12-01
VP of Engineering,"350,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior product designer,"200,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Staff software engineer,"190,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"190,000",Annual,New York City,TopStartups.io,2023-12-01
COO,"275,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Machine learning engineer,"210,000",Annual,Boston,TopStartups.io,2023-12-01
VP of Growth,"250,000",Annual,New York City,TopStartups.io,2023-12-01
Full stack engineer,"160,000",Annual,Remote US,TopStartups.io,2023-12-01
BizOps analyst,"200,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior machine learning engineer,"190,000",Annual,Seattle,TopStartups.io,2023-12-01
Senior product manager,"180,000",Annual,Remote US,TopStartups.io,2023-12-01
Chief of staff,"240,000",Annual,Remote US,TopStartups.io,2023-12-01
CTO,"260,000",Annual,New York City,TopStartups.io,2023-12-01
Senior software engineer,"157,500",Annual,Houston,TopStartups.io,2023-12-01
Director of Marketing,"230,000",Annual,Remote US,TopStartups.io,2023-12-01
CFO/COO,"325,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior UX designer,"130,000",Annual,Remote US,TopStartups.io,2023-12-01
CTO,"780,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior full stack engineer,"153,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of Operations,"130,000",Annual,London,TopStartups.io,2023-12-01
Chief of staff,"140,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"120,000",Annual,New York City,TopStartups.io,2023-12-01
Senior software engineer,"165,000",Annual,Colorado,TopStartups.io,2023-12-01
VP of Product,"300,000",Annual,New York City,TopStartups.io,2023-12-01
Account executive,"245,000",Annual,Remote US,TopStartups.io,2023-12-01
Machine learning engineer,"190,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of Product,"250,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"140,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"150,000",Annual,Remote Canada,TopStartups.io,2023-12-01
Founding software engineer,"230,000",Annual,Remote US,TopStartups.io,2023-12-01
Product manager,"150,000",Annual,Remote US,TopStartups.io,2023-12-01
Lead data scientist,"105,000",Annual,Australia,TopStartups.io,2023-12-01
Senior software engineer,"215,000",Annual,Remote US,TopStartups.io,2023-12-01
Staff software engineer,"256,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Group product manager,"275,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior data scientist,"145,000",Annual,Remote US,TopStartups.io,2023-12-01
Product manager,"145,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"225,000",Annual,Remote US,TopStartups.io,2023-12-01
VP of Customer Success,"170,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior data engineer,"225,000",Annual,New York City,TopStartups.io,2023-12-01
Software engineer,"185,000",Annual,Remote US,TopStartups.io,2023-12-01
Director of Finance,"205,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior machine learning engineer,"230,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"215,000",Annual,New York City,TopStartups.io,2023-12-01
Senior product manager,"245,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"190,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior product marketing manager,"150,000",Annual,Remote US,TopStartups.io,2023-12-01
Design manager,"175,000",Annual,New York City,TopStartups.io,2023-12-01
Director of Operations,"175,000",Annual,New York City,TopStartups.io,2023-12-01
Creative director,"165,000",Annual,Remote US,TopStartups.io,2023-12-01
Account executive,"220,000",Annual,Remote US,TopStartups.io,2023-12-01
VP of Product,"200,000",Annual,New York City,TopStartups.io,2023-12-01
Head of Product,"145,000",Annual,Remote US,TopStartups.io,2023-12-01
Head of People Operations,"180,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior product marketing manager,"160,000",Annual,Remote US,TopStartups.io,2023-12-01
Founding software engineer,"215,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Product lead,"315,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Founding software engineer,"185,000",Annual,Remote US,TopStartups.io,2023-12-01
VP of Sales,"198,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"145,000",Annual,Singapore,TopStartups.io,2023-12-01
Director of Marketing,"185,000",Annual,Remote US,TopStartups.io,2023-12-01
Machine learning engineer,"200,000",Annual,Remote US,TopStartups.io,2023-12-01
Founding software engineer,"120,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior product manager,"234,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"150,000",Annual,New York City,TopStartups.io,2023-12-01
Software engineer,"195,000",Annual,Seattle,TopStartups.io,2023-12-01
CTO,"150,000",Annual,Austin,TopStartups.io,2023-12-01
Founding software engineer,"240,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Head of Operations,"300,000",Annual,Austin,TopStartups.io,2023-12-01
Software engineer,"260,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior software engineer,"234,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Machine learning engineer,"275,000",Annual,Remote US,TopStartups.io,2023-12-01
Director of Sales,"350,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"203,000",Annual,Remote US,TopStartups.io,2023-12-01
Machine learning engineer,"200,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Backend engineer,"173,000",Annual,Remote US,TopStartups.io,2023-12-01
Staff hardware engineer,"160,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior product manager,"190,000",Annual,Seattle,TopStartups.io,2023-12-01
Senior software engineer,"220,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Frontend engineer,"160,000",Annual,Remote,TopStartups.io,2023-12-01
Mechanical engineer,"120,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"210,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Senior software engineer,"120,000",Annual,Remote US,TopStartups.io,2023-12-01
Director of Sales,"170,000",Annual,Remote US,TopStartups.io,2023-12-01
Tech lead,"200,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior software engineer,"185,000",Annual,Remote US,TopStartups.io,2023-12-01
Product manager,"110,000",Annual,Miami,TopStartups.io,2023-12-01
Chief marketing officer,"260,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior customer success manager,"165,000",Annual,Remote US,TopStartups.io,2023-12-01
Staff software engineer,"215,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior product manager,"215,000",Annual,Remote US,TopStartups.io,2023-12-01
VP of Sales,"240,000",Annual,San Francisco,TopStartups.io,2023-12-01
Senior software engineer,"201,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"130,000",Annual,Remote US,TopStartups.io,2023-12-01
Senior product manager,"250,000",Annual,Remote US,TopStartups.io,2023-12-01
Strategy Manager,"140,000",Annual,Remote US,TopStartups.io,2023-12-01
Technical solutions engineer,"145,000",Annual,Remote US,TopStartups.io,2023-12-01
Director of Strategy,"240,000",Annual,Remote US,TopStartups.io,2023-12-01
Director of engineering,"188,000",Annual,Toronto,TopStartups.io,2023-12-01
Lead mobile developer,"195,000",Annual,Remote US,TopStartups.io,2023-12-01
Product designer,"190,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
CTO,"170,000",Annual,Toronto,TopStartups.io,2023-12-01
Product manager,"200,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"230,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Staff software engineer,"284,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Principal engineer,"305,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Product marketing manager,"168,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"173,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"145,000",Annual,Seattle,TopStartups.io,2023-12-01
Account executive,"320,000",Annual,Remote US,TopStartups.io,2023-12-01
Staff software engineer,"185,000",Annual,San Francisco Bay Area,TopStartups.io,2023-12-01
Software engineer,"165,000",Annual,Remote US,TopStartups.io,2023-12-01
Software engineer,"150,000",Annual,Seattle,TopStartups.io,2023-12-01
Account executive,"120,000",Annual,Remote US,TopStartups.io,2023-12-01
Sales engineering manager,"275,000",Annual,New York City,TopStartups.io,2023-12-01
Software engineer,"178,000",Annual,New York City,TopStartups.io,2023-12-01
Product marketing manager,"180,000",Annual,Remote US,TopStartups.io,2023-12-01
Lead software engineer,"100,000",Annual,New York City,TopStartups.io,2023-12-01
Software engineer,"220,000",Annual,New York City,TopStartups.io,2023-12-01
Software engineer,"135,000",Annual,Remote Canada,TopStartups.io,2023-12-01
