Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
"Nursing Assistant-open announcement all campuses, all shifts","38,172",Annual,Multiple Locations,USAjobs.gov,2023-12-01
"Nursing Assistant - open announcement, all campuses, all shifts","38,172",Annual,Multiple Locations,USAjobs.gov,2023-12-01
ALLIED TRADES WORKER,28.76,Hourly,"Pineville, Louisiana",USAjobs.gov,2023-12-01
Nursing Assistant (ALL AREAS),"35,008",Annual,"Dayton, Ohio",USAjobs.gov,2023-12-01
COOK NA-05 RFT (ALL SOURCES),18.79,Hourly,"Iwakuni, Japan",USAjobs.gov,2023-12-01
ALLIED TRADES WORKER T32,28.87,Hourly,"Phoenix, Arizona",USAjobs.gov,2023-12-01
Physician - All Specialties,"200,000",Annual,Multiple Locations,USAjobs.gov,2023-12-01
ALLIED TRADES WORKER (TITLE 32),24.25,Hourly,"Smyrna, Tennessee",USAjobs.gov,2023-12-01
Physician (Allergy & Immunology),"226,042",Annual,"West Palm Beach, Florida",USAjobs.gov,2023-12-01
Physician (ALLERGY & IMMUNOLOGY),"250,000",Annual,"Miami, Florida",USAjobs.gov,2023-12-01
HOSTESS/CASHIER - ALL AMERICAN,16.55,Hourly,"Kitsap County, Washington",USAjobs.gov,2023-12-01
Physician (Allergy & Immunology),"115,587",Annual,"Fort Carson, Colorado",USAjobs.gov,2023-12-01
Physician- Allergy and Immunology,"185,000",Annual,"Oklahoma City, Oklahoma",USAjobs.gov,2023-12-01
CHILD AND YOUTH PROGRAM ASSISTANT (ALL LEVELS),17.39,Hourly,"Goose Creek, South Carolina",USAjobs.gov,2023-12-01
CHILD AND YOUTH PROGRAM ASSISTANT(ALL LEVELS),17.39,Hourly,"Goose Creek, South Carolina",USAjobs.gov,2023-12-01
CHILD AND YOUTH PROGRAM ASSISTANT (ALL LEVELS),17.39,Hourly,"Charleston AFB, South Carolina",USAjobs.gov,2023-12-01
Nurse Practitioner (All Specialties),"80,069",Annual,Multiple Locations,USAjobs.gov,2023-12-01
Licensed Practical Nurse (All Specialties),"31,244",Annual,"Columbus, Ohio",USAjobs.gov,2023-12-01
Licensed Practical Nurse (All Specialties),"30,015",Annual,"Columbus, Ohio",USAjobs.gov,2023-12-01
Registered Nurse - Mental Health (All Vacancies),"70,514",Annual,"Albuquerque, New Mexico",USAjobs.gov,2023-12-01
Practical Nurse- Allentown Mental Health Clinic,"35,080",Annual,"Allentown, Pennsylvania",USAjobs.gov,2023-12-01
Nursing Assistant - Mental Health (All Vacancies),"34,088",Annual,"Albuquerque, New Mexico",USAjobs.gov,2023-12-01
Registered Nurse (All Vacancies - SAVAHCS Employees Only),"81,389",Annual,Multiple Locations,USAjobs.gov,2023-12-01
"Registered Nurse (all vacancies including FT, PT, PRN)","79,287",Annual,Multiple Locations,USAjobs.gov,2023-12-01
"Registered Nurse (All Vacancies including PRN, PT, FT)","54,995",Annual,Multiple Locations,USAjobs.gov,2023-12-01
Nursing Assistant (All Vacancies - SAVAHCS Employees Only),"35,091",Annual,"Tucson, Arizona",USAjobs.gov,2023-12-01
"Nursing Assistant (all vacancies including PRN, PT, FT)","36,379",Annual,"Prescott, Arizona",USAjobs.gov,2023-12-01
Waiter/Waitress (Food Service Worker) - Dewey's All Hand's Club,16.05,Hourly,"Jacksonville, Florida",USAjobs.gov,2023-12-01
"Registered Nurse (All Vacancies Including FT, PT, and PRN)","92,613",Annual,Multiple Locations,USAjobs.gov,2023-12-01
Nursing Assistant (All vacancies to include PRN-INT-PT-FT),"34,008",Annual,"Albuquerque, New Mexico",USAjobs.gov,2023-12-01
Nursing Assistant (All Vacancies Including FT PT and PRN),"36,508",Annual,Multiple Locations,USAjobs.gov,2023-12-01
Nursing Assistant (All Vacancies including Full-Time - Part-Time),"35,091",Annual,"Tucson, Arizona",USAjobs.gov,2023-12-01
"Licensed Practical Nurse (all vacancies including FT, PT, PRN)","43,541",Annual,Multiple Locations,USAjobs.gov,2023-12-01
FAMILY ADVOCACY PROGRAM CASE MANAGER NF-04 RFT (ALL SOURCES),23.49,Hourly,"Iwakuni, Japan",USAjobs.gov,2023-12-01
