Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
,,Annual,,USNEWS.com,2023-12-01
Bilingual Roadside Services Dispatcher,"34,000 - 34,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Customer Care Specialist I - Lisa,,Annual,"Richardson, TX",USNEWS.com,2023-12-01
Customer Service Representative,"25,000 - 50,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Inbound Call Representative,"38,000 - 40,000",Annual,"Addison, TX",USNEWS.com,2023-12-01
Customer Service Representative (CSR),"38,000 - 58,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Lead Representative,"45,000 - 45,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
Customer Relations Representative,"38,000 - 48,000",Annual,"Garland, TX",USNEWS.com,2023-12-01
Remote Insurance Processing Agent (Property & Casualty),"34,000 - 40,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
Customer Care Specialist I - AppFolio Property Manager,,Annual,"Richardson, TX",USNEWS.com,2023-12-01
Customer Support and Payment Specialist,"35,000 - 47,000",Annual,"Garland, TX",USNEWS.com,2023-12-01
Service Drive Manager,"60,000 - 100,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
"Service Center Technician - Addison, TX",,Annual,"Addison, TX",USNEWS.com,2023-12-01
Greeter,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Client Service Rep,"39,000 - 59,000",Annual,"Mesquite, TX",USNEWS.com,2023-12-01
Client Services Associate I,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Assistant Customer Service Representative - Dispatcher,"30,000 - 40,000",Annual,"Carrollton, TX",USNEWS.com,2023-12-01
Client Support Specialist,"35,500 - 48,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Position Open !,"28,500 - 38,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Coordinator,"34,000 - 40,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Relationship Representative,"38,000 - 52,000",Annual,"Mesquite, TX",USNEWS.com,2023-12-01
Customer Service Event Rep,"39,000 - 59,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Entry Level Customer Service Representative,"39,000 - 59,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Entry level Funding Specialist,"34,000 - 36,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
HealthCare Team Lead,,Annual,"75007, TX",USNEWS.com,2023-12-01
Call Center/Dispatch Manager,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Client Services Representative, International","31,500 - 43,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Service BDC Representative - Toyota of Plano,"28,500 - 38,500",Annual,"Plano, TX",USNEWS.com,2023-12-01
Customer Service (Photographer),"30,000 - 50,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Support Technician,"28,000 - 36,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative (Seasonal),"32,000 - 34,000",Annual,"Irving, TX",USNEWS.com,2023-12-01
Call Center Customer Service Manager,"45,000 - 70,000",Annual,"Allen, TX",USNEWS.com,2023-12-01
Client Experience Associate,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Relations Representative,,Annual,"Carrollton, TX",USNEWS.com,2023-12-01
Customer Service Agent,"40,689 - 45,680",Annual,"Dallas, TX",USNEWS.com,2023-12-01
CSR I (Clarus),"34,000 - 34,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
SALES ASSISTANT,"34,000 - 34,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Employee Benefits Client Advisor - Sales Producer,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Client Service Specialist,"33,500 - 44,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Receptionist Customer Service,"26,000 - 30,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Remote:: Customer Service Representative (CST, Healthcare)","34,000 - 38,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Promotions Sales Assistant | Weekly Pay,"45,000 - 60,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative at UTSW,"31,500 - 43,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Sales Assistant (Spanish/ Vietnamese preferred),"30,000 - 45,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Canine Customer Service Representative,"26,000 - 30,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
