Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
Residential Sales Representative - Solutions Advisor (Job ID 3009183),,,"Wichita, KS",Velvetjobs.com,2023-12-01
Administrative Coordinator (Job ID 3009237),,,"Long Island City, NY",Velvetjobs.com,2023-12-01
Insurance Pre-Cert Coordinator for Infusion Services at Penn Medicine Valley Forge,,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
Patient Access Associate ED (Princeton),,,"Middlesex County, NJ",Velvetjobs.com,2023-12-01
Histotechnology Technical Supervisor,,,"West Chester, PA",Velvetjobs.com,2023-12-01
Telehealth Coordinator,,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
Chief Operating Officer Pathology,,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
Clinical Nurse II Inpatient - Eating Disorder Unit,,,"Middlesex County, NJ",Velvetjobs.com,2023-12-01
Laboratory Service Coordinator,,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
Primary Care Physician - Family or Internal Medicine - Bucks County,,,"Yardley, PA",Velvetjobs.com,2023-12-01
Registered Nurse RN PD Tier III - Telemetry,,,"Middlesex County, NJ",Velvetjobs.com,2023-12-01
Clinical Nurse 1- Inpatient - CUPP 5 South - Ortho/General Surgical/Medicine @ PPMC,,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
PRN RN Cardiology Prep/ Recovery & Testing,,,"West Chester, PA",Velvetjobs.com,2023-12-01
Telemetry Transporter,,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
Patient Care Associate @Penn Presbyterian HVICU (nights),,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
Inpatient EOW Phlebotomist,,,"West Chester, PA",Velvetjobs.com,2023-12-01
Transplant Billing Coordinator (Remote),,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
"Adult Congenital Cardiac Sonographer - Full-time, HUP",,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
"Cardiac Sonographer - Full-time, HUP",,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
Administrative Assistant - Cardiology Department PPMC,,,"Philadelphia, PA",Velvetjobs.com,2023-12-01
Sales Associate - Optical,,,"Lake Mary, FL",Velvetjobs.com,2023-12-01
Sales Associate - Optical,,,"Pleasant Hill, CA",Velvetjobs.com,2023-12-01
General Manager - Optical,,,"Dubuque, IA",Velvetjobs.com,2023-12-01
Sales Associate - Optical,,,"Fairview Heights, IL",Velvetjobs.com,2023-12-01
Optometric Tech - Medical Assistant,,,"Nashville, TN",Velvetjobs.com,2023-12-01
Front Desk Receptionist - Bilingual/Spanish,,,"Nashville, TN",Velvetjobs.com,2023-12-01
Assistant Manager - Optical,,,"Lake Zurich, IL",Velvetjobs.com,2023-12-01
Licensed Optician,,,"Nashville, TN",Velvetjobs.com,2023-12-01
Front Desk Receptionist,,,"Cedar Rapids, IA",Velvetjobs.com,2023-12-01
Front Desk Receptionist,,,"Nashville, TN",Velvetjobs.com,2023-12-01
Licensed Optician,,,"Palm Springs, CA",Velvetjobs.com,2023-12-01
General Manager - Optical,,,"Albuquerque, NM",Velvetjobs.com,2023-12-01
Front Desk Receptionist,,,"Pensacola, FL",Velvetjobs.com,2023-12-01
Licensed Optician,,,"Seminole, FL",Velvetjobs.com,2023-12-01
"PHYSICIAN - OB/GYN - Brainerd, MN",,,"Baxter, MN",Velvetjobs.com,2023-12-01
"PHYSICIAN - Radiology - Casual - Brainerd, MN",,,"Brainerd, MN",Velvetjobs.com,2023-12-01
Demand Planner,,,"Miramar, FL",Velvetjobs.com,2023-12-01
Sales Representative- On Premise,,,"Hilton Head Island, SC",Velvetjobs.com,2023-12-01
"Manager, Field Reimbursement - West Region",,,"Las Vegas, NV",Velvetjobs.com,2023-12-01
Senior Consultant,,,"Dallas, TX",Velvetjobs.com,2023-12-01
"Risk Detection Specialist - Pittsburgh, PA or Hermitage, PA",,,"Pittsburgh, PA",Velvetjobs.com,2023-12-01
Relationship Banker,,,"Reading, PA",Velvetjobs.com,2023-12-01
Verizon Sales Consultant,,,"Crystal River, FL",Velvetjobs.com,2023-12-01
Verizon Sales Consultant,,,"Largo, FL",Velvetjobs.com,2023-12-01
Verizon Sales Consultant,,,"Haines City, FL",Velvetjobs.com,2023-12-01
Verizon Sales Consultant,,,"Valrico, FL",Velvetjobs.com,2023-12-01
Verizon Sales Consultant,,,"Tampa, FL",Velvetjobs.com,2023-12-01
Verizon Sales Consultant,,,"Hudson, FL",Velvetjobs.com,2023-12-01
Verizon Sales Consultant,,,"Naples, FL",Velvetjobs.com,2023-12-01
Verizon Sales Consultant,,,"New Port Richey, FL",Velvetjobs.com,2023-12-01
