Job_Title,Location,Salary,Salary Frequency,Source,Scrape_date
Senior Compensation Analyst,"Spring, TX",NA,Hourly,VelvetJobs,2023-11-30
Network Service Engineer,"Hanscom Air Force Base, MA",NA,Hourly,VelvetJobs,2023-11-30
Bioprocess Associate,"East Syracuse, NY",18,Hourly,VelvetJobs,2023-11-30
Corporate Financial Controller,"Corning, NY",NA,Hourly,VelvetJobs,2023-11-30
Maintenance Technician,"Thomasville, NC",NA,Hourly,VelvetJobs,2023-11-30
Electrical Panel / Wiring Technician,"Somerset County, NJ",27 - 30,Hourly,VelvetJobs,2023-11-30
Quality Specialist / Sr Quality Specialist,"Allentown, PA",NA,Hourly,VelvetJobs,2023-11-30
Global Metrology Engineer,"Asheboro, NC",NA,Hourly,VelvetJobs,2023-11-30
Microbiologist,"Piscataway Township, NJ",NA,Hourly,VelvetJobs,2023-11-30
Administrative Assistant - Intermediate (Shadyside/Pittsburgh),"Pittsburgh, PA",NA,Hourly,VelvetJobs,2023-11-30
Unit Secretary - T12 Cardiology - Evening,"Altoona, PA",NA,Hourly,VelvetJobs,2023-11-30
Patient Care Technician - Resource,"Pittsburgh, PA",NA,Hourly,VelvetJobs,2023-11-30
Licensed Care Manager - Children's Services,"State College, PA",NA,Hourly,VelvetJobs,2023-11-30
Occupational Therapist,"Somerset, PA",NA,Hourly,VelvetJobs,2023-11-30
"Professional Staff Nurse, OP - Casual","Pittsburgh, PA",NA,Hourly,VelvetJobs,2023-11-30
"Access Lead- UPMC Carlisle, Full-time, Rotating Shifts","Carlisle, PA",NA,Hourly,VelvetJobs,2023-11-30
Behavioral Health Therapist I (Pediatric Obsessive-Compulsive Disorder Program),"Wexford, PA",NA,Hourly,VelvetJobs,2023-11-30
Casual Patient & Family Concierge (Rehab Unit),"Pittsburgh, PA",NA,Hourly,VelvetJobs,2023-11-30
Nursing Assistant (Full-Time) - 6 South (CT Surgery),"Erie, PA",NA,Hourly,VelvetJobs,2023-11-30
Nurse Navigator RN Mechanicsburg Oncology Outpatient,"Mechanicsburg, PA",NA,Hourly,VelvetJobs,2023-11-30
Service Coordinator (Lawrence County),"New Castle, PA",NA,Hourly,VelvetJobs,2023-11-30
Systems Analyst - Intermediate (Systems Operations),"Cheyenne, WY",NA,Hourly,VelvetJobs,2023-11-30
Materials Management Assistant,"Cranberry Township, PA",NA,Hourly,VelvetJobs,2023-11-30
"Assistant Coach, Football","Nashville, TN",NA,Hourly,VelvetJobs,2023-11-30
Key Holder - PT Chestnut Hill,"Newton, MA",NA,Hourly,VelvetJobs,2023-11-30
Account Executive (Men's),"New York, NY",NA,Hourly,VelvetJobs,2023-11-30
Mail Services Supervisor,"Redmond, WA",NA,Hourly,VelvetJobs,2023-11-30
Facilities Manager,"New York, NY",NA,Hourly,VelvetJobs,2023-11-30
"SPQREA - Associate, Private Client Program","Indianapolis, IN",NA,Hourly,VelvetJobs,2023-11-30
Research Analyst,"Dallas, TX",NA,Hourly,VelvetJobs,2023-11-30
"Manufacturing Manager - Winsted, CT","Winchester, CT",NA,Hourly,VelvetJobs,2023-11-30
"Technical Services Manager - Lenoir City, TN","Lenoir City, TN",NA,Hourly,VelvetJobs,2023-11-30
"Tooling Service Product Manager - Littleton, NH","Littleton, NH",NA,Hourly,VelvetJobs,2023-11-30
"Director, Payments Consulting - US Virtual","New York, NY",NA,Hourly,VelvetJobs,2023-11-30
Engineer II - Application Support,"Phoenix, AZ",NA,Hourly,VelvetJobs,2023-11-30
UHNW Senior Advisor,"Walpole, MA",NA,Hourly,VelvetJobs,2023-11-30
Citizens Banker,"New York, NY",NA,Hourly,VelvetJobs,2023-11-30
Engineering Technician I,"Baton Rouge, LA",4,Hourly,VelvetJobs,2023-11-30
Inventory Clerk,"West Jordan, UT",4,Hourly,VelvetJobs,2023-11-30
Inventory Control Clerk - $24.91,"Suwanee, GA",4,Hourly,VelvetJobs,2023-11-30
Business Development Generalist,"Phoenix, AZ",4,Hourly,VelvetJobs,2023-11-30
"Senior Associate, Employee Relations","Flat Rock, MI",NA,Hourly,VelvetJobs,2023-11-30
Manufacturing Engineer - Controls,"Sharonville, OH",NA,Hourly,VelvetJobs,2023-11-30
Sr. Staff Chassis Architect,"United States, CA",NA,Hourly,VelvetJobs,2023-11-30
Hourly Warehouse Team Member - Temp Full Time - Lakeland HVC in Davenport FL,"Davenport, FL",NA,Hourly,VelvetJobs,2023-11-30
Production Supervisor - MP&L,"Sterling Heights, MI",NA,Hourly,VelvetJobs,2023-11-30
Cyber Defense Analyst,"Dearborn, MI",NA,Hourly,VelvetJobs,2023-11-30
"Software Engineer, Full Stack","United States, CA",NA,Hourly,VelvetJobs,2023-11-30
Customer Success Manager (Onboarding),"United States, CA",NA,Hourly,VelvetJobs,2023-11-30
Software Engineer,"Redmond, WA",NA,Hourly,VelvetJobs,2023-11-30
Production Supervisor,"Sterling Heights, MI",NA,Hourly,VelvetJobs,2023-11-30
Software Engineer,"Dearborn, MI",NA,Hourly,VelvetJobs,2023-11-30
HLM Design and Release Engineer,"Dearborn, MI",NA,Hourly,VelvetJobs,2023-11-30
Mobile Service Market Operations Lead - Central Market Region,"United States, CA",NA,Hourly,VelvetJobs,2023-11-30
Engineering Specialist – Process Engineer,"Dearborn, MI",NA,Hourly,VelvetJobs,2023-11-30
"Business Development Manager, Philadelphia","Philadelphia, PA",NA,Hourly,VelvetJobs,2023-11-30
Movable Glass Systems Supervisor,"Dearborn, MI",NA,Hourly,VelvetJobs,2023-11-30
