Job_Title,Salary,Salary_Type,Location,Website,Scrape Date
911-dispatcher,"33,769",Annually,US,Zengig,30-11-2023
911-operator,"33,501",Annually,US,Zengig,30-11-2023
account-executive,"57,356",Annually,US,Zengig,30-11-2023
account-manager,"42,076",Annually,US,Zengig,30-11-2023
accountant,"56,987",Annually,US,Zengig,30-11-2023
accounting-assistant,"37,719",Annually,US,Zengig,30-11-2023
accounting-clerk,"32,823",Annually,US,Zengig,30-11-2023
accounting-director,"89,962",Annually,US,Zengig,30-11-2023
accounting-instructor,"61,178",Annually,US,Zengig,30-11-2023
accounting-manager,"79,774",Annually,US,Zengig,30-11-2023
accounts-payable-assistant,"31,375",Annually,US,Zengig,30-11-2023
accounts-payable-clerk,"34,238",Annually,US,Zengig,30-11-2023
accounts-payable-manager,"54,696",Annually,US,Zengig,30-11-2023
accounts-payable-specialist,"44,871",Annually,US,Zengig,30-11-2023
accounts-receivable-clerk,"33,180",Annually,US,Zengig,30-11-2023
accounts-receivable-specialist,"35,719",Annually,US,Zengig,30-11-2023
acquisition-specialist,"53,185",Annually,US,Zengig,30-11-2023
actor,"40,200",Annually,US,Zengig,30-11-2023
actuary,"87,964",Annually,US,Zengig,30-11-2023
adjunct-professor,"67,349",Annually,US,Zengig,30-11-2023
administrative-assistant,"36,255",Annually,US,Zengig,30-11-2023
admissions-advisor,"39,807",Annually,US,Zengig,30-11-2023
admissions-coordinator,"37,020",Annually,US,Zengig,30-11-2023
admissions-manager,"51,696",Annually,US,Zengig,30-11-2023
admissions-representative,"37,417",Annually,US,Zengig,30-11-2023
advertising-assistant,"33,569",Annually,US,Zengig,30-11-2023
advertising-sales-representative,"42,844",Annually,US,Zengig,30-11-2023
aerospace-engineer,"78,040",Annually,US,Zengig,30-11-2023
aesthetician,"37,723",Annually,US,Zengig,30-11-2023
ai-engineer,"1,01,500",Annually,US,Zengig,30-11-2023
air-traffic-controller,"53,266",Annually,US,Zengig,30-11-2023
aircraft-electrician,"61,164",Annually,US,Zengig,30-11-2023
aircraft-inspector,"63,200",Annually,US,Zengig,30-11-2023
aircraft-mechanic,"55,011",Annually,US,Zengig,30-11-2023
aircraft-painter,"46,847",Annually,US,Zengig,30-11-2023
airline-pilot,"1,10,814",Annually,US,Zengig,30-11-2023
airplane-mechanic,"54,444",Annually,US,Zengig,30-11-2023
amazon-area-manager,"54,497",Annually,US,Zengig,30-11-2023
amazon-delivery-driver,"35,223",Annually,US,Zengig,30-11-2023
amazon-operations-manager,"77,050",Annually,US,Zengig,30-11-2023
analog-design-engineer,"85,376",Annually,US,Zengig,30-11-2023
anesthesiologist,"1,85,407",Annually,US,Zengig,30-11-2023
anesthesiologist-assistant,"90,959",Annually,US,Zengig,30-11-2023
