Index,Salary,Salary_Type,Location,Website,Scrape Date
.NET Analyst,$33 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Application Developer,$52 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Azure Developer,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Backup Administrator,$22 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Consultant,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Developer,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Engineer,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Junior Developer,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Lead,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Programmer,$46 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Senior Developer,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Software Developer,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Software Engineer,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Software Programmer,$46 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Specialist,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
.NET Web Developer,$54 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
12th Grade Teacher,$17 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
1st Deputy Fire,$19 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
1st Grade Teacher,$19 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
211 Call Center Specialist,$18 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
2D And 3D Animator,$39 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
2D And 3D Technical Illustrator,$19 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
2D Animator,$39 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
2D Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
2D Computer Graphics Visual Effects Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
2D Concept Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
2D Game Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
2D Lead Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
2D Senior VFX Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
31B Military Police,$30 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Animator,$39 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Applications Software Engineer,$53 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Applications Specialist,$53 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Architectural Drafter,$46 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Architectural Visualizer,$46 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Art Curator,$33 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Art Designer,$33 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Art Developer,$33 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Art Lead,$33 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Character Animator,$39 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Character Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Computer Graphic Layout Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Computer Graphics Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Content Producer,$59 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Design And Drafting Engineer,$29 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Environment Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Game Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Graphic Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Layout Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Lighting Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Modeler And Texture Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Modeling Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Modelling Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Printer Designer,$21 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Printer Engineer,$21 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Printer Operator,$21 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Printer Programmer,$40 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Printer Technician,$21 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Printing Designer,$22 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Printing Engineer,$22 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Printing Operator,$22 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Printing Programmer,$40 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Printing Technician,$22 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Programmer,$40 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Render Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Visual Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3D Visual Effects Artist,$62 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3PL Coordinator,$55 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3PL Logistics Coordinator,$61 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3PL Logistics Supply Chain Coordinator,$61 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3PL Supply Chain Coordinator,$61 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
3rd Grade Teacher,$22 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
401K Advisor,$26 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
401K Analyst,$35 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
401K Benefits Analyst,$37 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
401K Plan Specialist,$33 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
401K Program Manager,$22 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
4H Extension Educator,$56 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
4H Program Coordinator,$44 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
6th Grade Teacher,$15 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
7th Grade Teacher,$38 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
8th Grade Teacher,$189 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
911 Agent,$30 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
911 Paramedic Dispatcher,$26 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
9th Grade Teacher,$17 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
A&P Mechanic,$35 ,Hourly,"Dallas, TX",Ziprecruiter,2023-11-30
